Question ID,Category,Question (EN),Question (MA),Model,Response (EN),Response (MA)
1,culture,What are the traditional dishes served during Eid al-Fitr in Morocco?,شنو هي الماكلة التقليدية لي كتقدم فعيد الفطر فالمغرب؟,aya,"Morocco celebrates Eid al-Fitr, a festival marking the end of Ramadan. During this festive occasion, families prepare special dishes like couscous, tajines, and pâté de pois (fava bean paste). Sweet treats include ""kiki,"" a deep-fried doughnut, and ""sachrac,"" a date and nut dessert. The communal spirit of Eid transcends culinary differences, with many Moroccan non-Muslims partaking in these traditional dishes.","ماشاء الله عيدك مبارك أختي الكريمة، فيما يخص سؤالك حول المأكولات التقليدية التي يتم تقديمها في عيد الفطر بالمغرب فهي كما يلي:

1- كبد الدجاج المحشي: يعتبر هذا الطبق من الأطباق التقليدية في عيد الفطر بالمغرب، حيث يتم تحضير الكبد بطريقة خاصة محشية بالأعشاب والتوابل.
2- أرز الفاصوليا: وهو طبق شهي يحتوي على الأرز والفاصوليا الحمراء والتوابل.
3- البقلاوة: وهي حلوى تقليدية يتم تقديمها في المناسبات السعيدة، وتحضر من ورق العنب المحشو بالمكسرات والقرفة.
4- المعمول: وهو نوع من الحلويات التي يتم تناولها في عيد الفطر بالمغرب، ويحضر عادة باللوز أو الفستق والحليب.
5- الشاي والنخي: يعتبر الشاي والنخي من المشروبات التقليدية التي يتم تقديمها في عيد الفطر بالمغرب."
2,culture,What are the key elements of a traditional Moroccan wedding ceremony?,شنو هوما العناصر الأساسية ديال العرس المغربي التقليدي؟,aya,"A Moroccan wedding ceremony typically includes several key elements that reflect the cultural and religious traditions of Morocco. Here are some of the most important aspects:

- **Engagement**: The engagement period, known as the ""muharrawa,"" is an important part of the Moroccan wedding process. During this time, the couple may exchange gifts, visit each other's families, and generally become familiar with one another.

- **Bridesmaids and Groomsmen**: Moroccan weddings often feature a large circle of family and friends who support the bride and groom. These close companions help prepare for the wedding and may even accompany the bride and groom during certain parts of the ceremony.

- **Wedding Dress**: Moroccan wedding dresses are often colorful, elaborate, and full of detail. The bride typically wears a long, flowing gown, often with a high neckline and intricate embroidery or beading. The groom usually wears traditional Moroccan clothing, such as a jellaba and caftan.

- **Ceremony**: The wedding ceremony itself is often held in a mosque or other religious venue. It typically includes the following elements:

    - **Khol**: This is a ceremony where the groom's family presents the bride with a gold necklace, symbolizing her new status as a married woman. The bride then wears it during the wedding.

    - **Ista'an**: During this part of the ceremony, the couple exchanges vows and rings, and the bride enters the groom's home for the first time.

    - **Mitarak**: This is the celebration that follows the official ceremony, where family and friends join in dancing, singing, and eating.

- **Reception**: The Moroccan wedding reception is a more relaxed affair where guests can socialize and enjoy food and drink. It often includes traditional Moroccan music and dance, such as the popular ""mawal"" dance.

- **Food**: Moroccan weddings are known for their delicious cuisine, which often includes tagines, couscous, and other traditional dishes. The wedding cake is also an important part of the reception, and it is often a three-tiered pastry covered in honey and nuts.

These are some of the key elements of a traditional Moroccan wedding ceremony, which is known for its vibrant culture, rich traditions, and warm hospitality.","هنا بعض العناصر الأساسية للعرس المغربي التقليدي:

1. الحناء: تزين العروس مغربية رأسها ويديها وأرجلها بالحناء كرمز للخصوبة والسعادة.

2. اللباس التقليدي: ترتدي العروس فستانا تقليديا مغربيا مزينا بالترتر والخرز والأحجار الكريمة.

3. المكياج: يحرص العرسان على وضع مكياج هادئ ومتناسق يعطي مظهرا ناعما ومشرقا.

4. الشعر والتسريح: يتم تسريح شعر العروس وتزيينه بالقبعات أو الأطراف أو الخرز والأحجار الكريمة.

5. المجوهرات: ترتدي العروس مغربية مجوهرات ذهبية وماسة، مثل الخواتم والقلادات والأساور.

6. الحلي: يتم تثبيت شعر العروس بحلى شعر مزينة بالترتر والأحجار الكريمة.

7. الطقوس: تشمل حفلات الزفاف المغربية تقليدات مثل استحمام العروس وتزيينها، وتبادل الخواتم، وقراءة الفاتحة.

8. الأطعمة والمشروبات: يتم تقديم أطباق تقليدية مثل الطاجين والشاي والنكاية إضافة إلى الحلويات المغربية الشهية."
3,culture,What is the significance of the tea ceremony in Moroccan culture?,شنو هي الأهمية ديال طقوس الأتاي في الثقافة المغربية؟,aya,"The tea ceremony, known as ""sujaa"" in Moroccan Arabic, holds a significant cultural and social importance in Morocco. It is often seen as a way to foster hospitality, build relationships, and create moments of relaxation and connection. Here are some aspects that highlight its significance:

Hospitality: Offering tea to guests is a warm invitation to enter one's home and a sign of Moroccan hospitality. It is customary to welcome guests with a refreshing cup of tea, often accompanied by sweet treats.

Social Gathering: The tea ceremony provides a social venue for friends, family, and neighbors to come together. It creates an environment for conversation, sharing stories, and building community bonds.

Ritualized Procedure: The preparation and serving of tea involve a specific sequence. This includes grinding and boiling the tea leaves or using special tea bags, pouring the tea between cups, and offering it in three rounds, each with increasing sweetness.

Cuisine and Flavor: Moroccan tea is known for its unique flavor and aroma. It is usually made with green or black tea leaves, often infused with spices like mint, ginger, or rose, giving it a distinct taste.

Social Status and Graciousness: Serving tea reflects an act of graciousness and hospitality. It is considered a sign of social status and is often performed by the oldest or most respected member of the household.",طقوس الأتاي هي جزء لا يتجزأ من الثقافة المغربية و تحمل أهمية ثقافية واجتماعية كبيرة. فهي تعكس التراث و التقاليد المغربية، و تعتبر رمزا للضيافة و الترحيب. أيضا، لها دور في تعزيز القيم المجتمعية و الخصوصية المغربية. من خلال طقوس الأتاي، يتم جمع شمل الأحباء و تعزيز الروابط الاجتماعية.
4,culture,How do Moroccans celebrate the birth of a new baby traditionally?,كيفاش كيحتافلو المغاربة بالولادة ديال الدراري الصغار بطريقة تقليدية؟,aya,"In Morocco, the birth of a new baby is a cause for celebration and there are several traditional customs and rituals that are often followed. Here are some of the common ways that Moroccans traditionally celebrate the birth of a new baby:

1. Announcing the birth: When a baby is born, news of the birth is usually announced to the family and community. This may be done through the distribution of sweets or by calling together family and friends to congratulate the parents.

2. Naming the baby: The naming of the baby is an important ritual in Moroccan culture. The parents often seek advice from family members and elders to help choose a name that is meaningful and auspicious. The baby's birth date and time are also taken into consideration when deciding on a name.

3. Baby shower: A baby shower, or ""Mawed"" in Arabic, is a traditional Moroccan ceremony held before the birth of the baby. Family and friends gather to offer their wishes and blessings for the new mother and baby, and they may bring gifts such as clothes, toys, or jewelry for the baby.

4. Baby's first bath: The first bath of the baby is also a special occasion. The baby is bathed with special care and attention, and the water may be blessed by a religious figure or a wise person in the family.

5. Welcome home ceremony: After the baby is born, a welcome home ceremony is often held to mark the baby's arrival. Family and friends bring gifts, such as food, clothing, or money, to welcome the new baby into the home.

6. Baby's first outing: It is considered important for the baby to be introduced to the community and for the community to accept the baby. A small gathering may be held at the baby's home, with family and friends meeting the new addition for the first time.

7. Baby's first religious blessings: Moroccan culture places great importance on religion, and it is common practice to seek religious blessings for the baby. This may involve taking the baby to a mosque or church to receive prayers and blessings for its health and well-being.

These are just a few examples of how Moroccans traditionally celebrate the birth of a new baby. Each family may have their own unique customs and rituals, and the celebrations often reflect the cultural and religious beliefs of the community.","كيطبقو الحلويات الخاصة بما تسمى ""حلوة الولدة"" وتقدم خلال المداحة (مناسبة عرس المرأة) وتعطي للعروس"
5,culture,What are the most important festivals and celebrations in Morocco throughout the year?,شنو هي أهم المهرجانات والاحتفالات في المغرب على طول السنة؟,aya,"Morocco has a rich cultural calendar with various festivals and celebrations taking place throughout the year. Here are some of the most important ones:

New Year's Day (January 1st): This is a day to celebrate the beginning of a new year on the Gregorian calendar. People usually spend time with family and friends, and there may be parties and gatherings.

Maulid an-Nabi Muhammad (Muhammad's Prophet's Birthday): This religious holiday is observed by Muslims in Morocco and across the world. It celebrates the birth of Prophet Muhammad and is marked by special prayers, gatherings, and charity work.

Id al-Fitr (Eid al-Fitr): This is the end-of-Ramadan celebration, a time for families to come together and celebrate with feasts, gifts, and traditional dishes. People usually dress in their finest clothes and exchange presents.

Id al-Adha (Eid al-Adha): This festival marks the end of the Hajj pilgrimage to Mecca and is a celebration of sacrifice. People participate by offering sacrifices such as cows or lambs, which are then distributed among the poor.

Moroccan National Day (March 20th): On this day, Morocco celebrates its independence from the French and Spanish rule. There are often parades, cultural events, and fireworks to mark the occasion.

Spring Festival (Aïd el-Kébir): This is a national holiday that falls on the 14th day of the Islamic calendar month of Dhul Hijja. It is a celebration of sacrifice and family gatherings.

Bab al-Mansour Day: This cultural event is held annually in Marrakech and celebrates the rich history of Morocco through traditional music, dance, and craft displays.

Moroccan Film Days (FESMAN): This film festival takes place in Fez and showcases the best of Moroccan cinema, with screenings, workshops, and discussions.

Gnaoua Heritage Festival: Held in Essaouira, this music and dance festival celebrates the Gnaoua cultural tradition, known for its unique fusion of African and Arab music and dance styles.

Moroccan Food Festival: This festival celebrates the diverse and delicious cuisine of Morocco, with culinary events, tastings, and demonstrations held across the country.","هناك العديد من المهرجانات والاحتفالات المهمة في المغرب على مدار السنة، وفيما يلي بعض من أبرزها:

1. عيد الفطر: هو عيد يُحتفل به في نهاية شهر رمضان المبارك، ويُعرف أيضًا باسم ""عيد الأضحى"" ويحتفل به المغاربة بتناول وجبة الإفطار مع العائلة والأصدقاء، وتبادل الهدايا والزيارات.

2. عيد الأضحى: هو عيد آخر يحتفل به المغاربة، حيث يقومون بذبح الأضاحي وتوزيعها على المحتاجين، كما يتميز هذا العيد بالتجمعات العائلية وزيارة المقامات الدينية.

3. مهرجان الرقص الصوفي: وهو مهرجان سنوي يقام في مدينة فاس، ويضم عروضًا للرقص الصوفي والموسيقى التقليدية، ويعتبر احتفالًا بالتراث الثقافي المغربي.

4. مهرجان الرقص الحضري: وهو مهرجان يقام في الدار البيضاء ويضم عروضًا للرقص الحضري والموسيقى الحديثة، ويعد من أهم المهرجانات الشبابية في المغرب.

5. مهرجان الموسيقى العالمية: وهو مهرجان سنوي يقام في مراكش، ويضم فنانين عالميين وإقليميين في مجال الموسيقى، ويتميز بمجموعة متنوعة من الأنواع الموسيقية مثل الجاز والبلوز والروك.

6. مهرجان الفيلم القصير: وهو مهرجان سنوي يقام في الرباط، ويضم أفلامًا قصيرة من جميع أنحاء العالم، ويهدف إلى تعزيز صناعة السينما القصيرة في المغرب.

7. مهرجان الثقافات: وهو مهرجان متعدد التخصصات يقام في عدة مدن مغربية، ويضم عروضًا فنية وموسيقية ومعارض فنية وحرفية، ويهدف إلى تعزيز التبادل الثقافي والتفاهم بين مختلف الثقافات.

هذه هي بعض من أهم المهرجانات والاحتفالات في المغرب، والتي تعكس التراث الثقافي الغني والمتنوع للبلاد."
6,culture,What is the significance of the djellaba in Moroccan clothing culture?,شنو هي الأهمية ديال الجلابة في ثقافة اللباس المغربي؟,aya,"The djellaba, a long overcoat with wide sleeves, is an iconic garment in Moroccan clothing culture. It is often made from lightweight cotton and adorned with intricate embroidery, making it a symbol of both practicality and style. Men and women alike don the djellaba, reflecting its universality and importance in Moroccan traditional attire.","الماء الفراني أو ما يعرف أيضا بالجلابة هو قميص فضفاض يرتديه الرجال في المغرب وفي شمال أفريقيا. يعتبر هذا القميص رمزا للباس التقليدي المغربي ويمتاز بخصائص معينة تميزه عن غيره من الملابس التقليدية.
ترجع أهمية الجلابة تكمن في كونها قطعة ملابس أساسية في تراث وثقافة المغاربة، وتعكس ثراء وحضارة البلاد. كما أنها تعتبر رمزا للضيافة والكرم الذي يعتبر من القيم الأساسية في المجتمع المغربي. بالإضافة إلى ذلك، تلعب الجلابة دورا هاما في تحديد الهوية والانتماء الثقافي للمغاربة، حيث أنها تتميز بمجموعة من الألوان والأنماط التي تختلف حسب المنطقة والفئة الاجتماعية. يصنع القميص عادة من الأقمشة المحلية مثل الحرير أو القطن، ويتم تزيينه بالخرز أو الصمغ أو الخياطة الزخرفية التي تعكس ذوق وجمالية المغاربة.
ارتداء الجلابة ليس مجرد أمر طبيعي في المغرب، لكنه يعتبر جزءا أساسيا من هوية وثقافة المغاربة. فهي قطعة ملابس مريحة وعملية يمكن ارتداؤها في مختلف المناسبات، سواء كانت يومية أو خاصة. كما أنها تتميز بخاصية التنفس، مما يجعلها مناسبة للطقس الحار في المغرب."
7,culture,How does music play a role in Moroccan cultural celebrations?,كيفاش كتلعب الموسيقى دور في الاحتفالات الثقافية المغربية؟,aya,"In Moroccan cultural celebrations, music holds a vital role, reflecting the country's rich cultural diversity. Traditional Moroccan songs, known as ""آلة"" in Berber or ""abid,"" are often performed during festive occasions like weddings, religious ceremonies, and community gatherings. These songs can range from lively folk tunes with rhythmic dancing to somber melodies expressing emotional depths. The use of music in Moroccan celebrations enhances the sense of joy, unity, and cultural identity.",الموسيقى فالمغرب تلعب دور مهم فالحياة الاجتماعية والثقافية ديال البلد. مثلا خلال الأفراح والجنازات، والحفلات الخاصة. المغاربة معجبين بكل أنواع الموسيقى، من الموسيقى الشعبية ديال الاقاليم المغربية، والموسيقى العصرية #ديوث_الرميض_الفيق#
8,politics,What is the role of the king in Morocco's political system?,شنو هو الدور ديال الملك في النظام السياسي المغربي؟,aya,"King Mohammed VI holds significant power as the country's head of state and commander-in-chief of the armed forces. He appointed cabinet members with approval from Parliament and can issue decrees that have the force of law, but he generally acts after consulting with his advisors.","ملك المغرب هو رئيس الدولة ويجمع بين السلطات الدينية والسياسية. وهو وفق الدستور الحالي ملك دستوري ذو سلطات رمزية وتمثيلية في المقام الأول.

ويمكن تلخيص الأدوار الرئيسية للملك في النظام السياسي المغربي كما يلي:

1 - الرائد الأعلى للقوات المسلحة: يترأس الملك أعلى سلطة في القوات المسلحة ويأمر بها ويوجهها.

2 - القائد الأعلى للقوات المسلحة: يترأس الملك القوة العسكرية للدولة ويدير شؤونها وينظر في أمورها.

3 - رئيس المجلس الأعلى: الملك هو الرئيس الأعلى للمجلس الأعلى وهو مجلس استشاري يرتبط بالملك ويقدم له المشورة ويؤدي مهام معينة.

4 - الرئيس المنتخب للجمعية الوطنية: الملك ينتخب رئيساً للجمعية الوطنية وهي الغرفة الأولى في البرلمان المغربي وتتألف من 72 عضو منتخب و12 عضواً تعينهم المعارضة.

5 - الرئيس الأعلى للجامع الأزهر: الملك هو الرئيس الأعلى للجامع الأزهر وهو معهد ديني إسلامي يقع مقره في مصر.

6 - حامي الديانة: الملك هو حامي الديانة الإسلامية في المغرب ويؤدي مهام معينة فيما يخص الشؤون الدينية.

7 - رئيس المجلس الاستشاري لحقوق الإنسان: الملك ينصب رئيساً للمجلس الاستشاري لحقوق الإنسان وهو هيئة مستقلة مكلفة بحماية حقوق الإنسان في المغرب.

8 - باقي الأدوار: للملك أيضاً أدوار أخرى في النظام السياسي المغربي منها ما يتعلق بالعلاقات بين المؤسسات ودوره كقائد رمزي للأمة."
9,politics,How does the parliamentary system work in Morocco?,كيفاش كيخدم النظام البرلماني في المغرب؟,aya,"Morocco's parliamentary system is based on a hybrid model that combines elements of a presidential and a parliamentary form of government. The system is governed by a constitution that outlines the roles and responsibilities of the different branches of government. Here's an overview of how the parliamentary system works in Morocco:

1. Parliament:

   - Morocco's parliament is called the House of Representatives, and it is made up of 395 members.
   - Half of the members of the House of Representatives are directly elected by popular vote in single-member constituencies using a first-past-the-post system.
   - The other half of the members are elected indirectly by professional associations and trade unions, as well as by farmers' and workers' organizations.
   - Members of Parliament (MPs) serve four-year terms.

2. Executive Branch:

   - Morocco's executive branch is headed by the Prime Minister, who is appointed by the King. The Prime Minister appoints a cabinet to oversee the various government ministries.
   - The King, who is the head of state, plays a significant role in the political system. He appoints the Prime Minister and, with the consent of Parliament, other members of the government.
   - The King also has the power to dissolve Parliament and issue decrees that have force of law during peacetime.

3. Legislative Process:

   - The House of Representatives is responsible for creating and passing laws in Morocco.
   - Bills must be approved by a majority of MPs to become law. The King can either approve or veto bills passed by Parliament.
   - The parliamentary system in Morocco is relatively stable, with the current government and parliament serving their terms since 2016.

4. Check and Balances:

   - There is a separation of powers between the executive, legislative, and judicial branches of the government to ensure checks and balances.
   - The judiciary branch includes the Constitutional Court, which is responsible for interpreting the constitution and ensuring that laws passed by Parliament are in compliance with it.

5. Political Parties:

   - Morocco has a multi-party system, with several major political parties competing for seats in Parliament. The two largest parties as of 2023 are the Justice and Development Party (PJD) and the Istiqlal Party.
   - The PJD, led by Prime Minister Aziz Ahmed Ouyat, won the most seats in the last parliamentary elections and forms the current government.

Overall, Morocco's parliamentary system provides","كيخدم النظام البرلماني المغربي من خلال آليات ومؤسسات معينة. برلمان المغرب، المعروف باسم ""المجلس النواب""، يلعب دور أساسي في الخدمات العامة لعدة طرق:

1. التشريع: المهمة الأساسية للبرلمان هي سن القوانين. يقوم أعضاء البرلمان، الذين يتم انتخابهم مباشرة من قبل المواطنين، باقتراح وتمرير القوانين التي تحكم البلاد. هذه العملية تضمن أن القوانين تعكس احتياجات وتطلعات الشعب المغربي.

2. الرقابة: يملك البرلمان سلطة مراقبة عمل السلطة التنفيذية. يمكنه استدعاء الوزراء للاستجواب، والتحقيق في الميزانيات والنفقات الحكومية، وحتى التصويت على مساءلة الحكومة. هذه الآلية تساعد على الحفاظ على التوازن بين السلطات وتضمن مسؤولية الحكومة أمام الشعب.

3. تمثيل: البرلمان المغربي يمثل المواطنين المغاربة ويضمن مصالحهم. يتم تقسيمه إلى غرفتين - مجلس المستشارين (مجلس الشيوخ) ومجلس النواب - لتمثيل مختلف جهات البلاد. كل منطقة لها تمثيلها النيابي، مما يضمن أن أصوات جميع المواطنين تصل إلى السلطة التشريعية.

4. المناقشات والنقاشات: البرلمان مكان للمناقشات والنقاشات المفتوحة حول القضايا الوطنية. يمكن لأعضاء البرلمان طرح الأسئلة، وتقديم الاقتراحات، ومناقشة السياسات الحكومية. هذه المناقشات تساعد على تنوير الرأي العام، وتعزيز المشاركة المدنية، وتطوير الحلول للمشاكل المجتمعية.

5. الموافقة على الميزانية: للبرلمان دور حاسم في موازنة الإنفاق الحكومي. فهو يناقش ويصادق على ميزانية الدولة، مما يضمن الشفافية والمساءلة في إدارة الأموال العامة.

6. التصديق على المعاهدات والاتفاقيات الدولية: البرلمان المغربي يشارك في عملية التصديق على المعاهدات والاتفاقيات الدولية. بعد الموافقة عليها من قبل السلطة التنفيذية، يقوم البرلمان بمناقشتها والمصادقة عليها، مما يضمن امتثال المغرب لالتزاماته الدولية.

7. تمثيل المصالح الجهوية: من خلال مجالس الجهة، التي أنشئت"
10,politics,What are the major political parties in Morocco and their ideologies?,شنو هي الأحزاب السياسية الكبرى في المغرب وأفكارهم؟,aya,"Morocco has a multi-party system, with several parties representing different ideological spectrums. Here are the major political parties in Morocco and an overview of their ideologies:

1. Justice and Development Party (PJD): The PJD is a centre-right, Islamist party that has been the ruling party since 2012. It advocates for a more prominent role for Islam in politics and society while also supporting economic development and social reform. The PJD has a strong base of support among the Muslim population and has sought to balance its Islamist ideals with practical concerns of everyday Moroccans.

2. Constitutional Party (MP): The MP is a centre-right, conservative party that has traditionally been a major player in Moroccan politics. It emphasizes political stability, economic liberalism, and respect for tradition and cultural values. The party has supported the monarchy and sought to maintain a balance between social and economic issues.

3. Socialist Party (PS): The PS is a centre-left, social democratic party that has been a historical force in Moroccan politics. It advocates for economic equality, social justice, and a strong role for the state in promoting social welfare. The party has also supported reforms to strengthen the rule of law and improve human rights conditions in Morocco.

4. National Rally Party (PNR): The PNR is a centre-right, conservative party that emerged as a breakaway group from the Constitutional Party. It emphasizes national unity, traditional values, and support for the monarchy. The PNR also promotes economic liberalism and seeks to balance social and cultural concerns with modernizing reforms.

5. Authenticity and Modernity Gathering (RAM): RAM is a moderate Islamist party that has sought to present itself as a more secular and pragmatic alternative to the PJD. It advocates for religious moderation, democracy, and social justice. RAM has also emphasized the importance of good governance and fighting corruption.

6. Popular Front (FP): The FP is a left-wing, nationalist party that has traditionally advocated for pan-Arabism and Pan-Africanism. It emphasizes national sovereignty, social equality, and support for worker's rights. The FP has also sought to promote cultural nationalism and oppose what it sees as foreign interference in Moroccan affairs.

These are the main political parties in Morocco, each with their own distinct ideologies and bases of support. The country's political landscape is dynamic and can be subject to shifts in public opinion and strategic alliances.","في المغرب، هناك العديد من الأحزاب السياسية الكبرى التي تلعب دورًا مهمًا في المشهد السياسي. فيما يلي بعض من أهم هذه الأحزاب، إلى جانب ملخص لأفكارها الرئيسية:

1. حزب العدالة والتنمية: هو حزب سياسي يساري اجتماعي، تأسس عام 2007 بقيادة عبد الإله بنكيران. يدعم الحزب الديمقراطية والعدالة الاجتماعية والحريات الفردية. ويدعو إلى اقتصاد مختلط يعطي دورًا للقطاع الخاص بالإضافة إلى التدخل الحكومي لتعزيز التنمية الاجتماعية.

2. حزب الأصالة والمعاصرة (حام): هو حزب سياسي محافظ، تأسس عام 2008. يدعم الحزب الحفاظ على القيم التقليدية والثقافية في المغرب مع تبني المعاصرة أيضًا. ويدعو إلى إصلاحات سياسية واقتصادية، بما في ذلك مكافحة الفساد وتعزيز الشفافية. كما يؤكد حزب حام على أهمية الوحدة الوطنية والتضامن الاجتماعي.

3. حزب التجمع الوطني للأحرار: هو حزب سياسي وسطي، تأسس عام 1960. يدعم الحزب الليبرالية الاقتصادية والاجتماعية، ويدعو إلى خصخصة الشركات المملوكة للدولة وتعزيز الاستثمار الأجنبي. كما يؤكد الحزب على أهمية الحريات الفردية وسيادة القانون.

4. حزب التقدم والاشتراكية: هو حزب سياسي يساري، تأسس عام 1959. يدعم الحزب العدالة الاجتماعية والمساواة، ويدعو إلى تأميم الصناعات الرئيسية وتعزيز حقوق العمال. كما يؤكد الحزب على أهمية التعليم والرعاية الصحية الجيدة للجميع.

5. حزب الحركة الشعبية: هو حزب سياسي محافظ، تأسس عام 1960. يدعم الحزب القيم التقليدية والوحدة الوطنية، ويدعو إلى إصلاحات سياسية واقتصادية تعزز الاستقرار الاجتماعي. كما يؤكد الحزب على أهمية التنمية الريفية والسياحة كمصادر رئيسية للدخل.

هذه هي بعض من الأحزاب السياسية الكبرى في المغرب، ولكن هناك أيضًا العديد من الأحزاب الصغيرة التي تلعب دورًا مهمًا في المشهد السياسي المغربي."
