Question ID,Category,Question (EN),Question (MA),Model,Response (EN),Response (MA)
1,culture,What are the traditional dishes served during Eid al-Fitr in Morocco?,شنو هي الماكلة التقليدية لي كتقدم فعيد الفطر فالمغرب؟,aya,"Morocco is known for its rich and diverse cuisine, and during Eid al-Fitr, a number of traditional dishes are served to celebrate the end of Ramadan. Here are some of the most commonly enjoyed dishes:

- Couscous - This staple food of Morocco is made with ground semolina, cooked with vegetables and meat or fish. It is often served during special occasions like Eid al-Fitr.

- Tagine - A stew made with meat, poultry, or fish, cooked with vegetables and seasoned with spices and herbs. The dish gets its name from the clay pot of the same name in which it is traditionally prepared.

- Pastilla - Also known as ""moroccan piglet,"" this dish is made with layers of flaky dough filled with ground meat, onions, and cinnamon. It is a sweet and savory dish that is often served during special occasions.

- K'sa - A simple dish of stewed meat or vegetables, often served with couscous or rice.

- Moroccon flatbreads - A variety of flatbreads are commonly eaten in Morocco, including khobz (hard bread), kfikk (flaky bread), and makhbout (soft bread). They are often served as a side dish or for dipping in sauces.

- Sweet desserts - During Eid al-Fitr, sweet desserts are commonly enjoyed, such as baklava, a dessert made with layers of phyllo pastry, nuts, and honey; and moroccon tea cakes, small sweet cakes made with rose water and sugar.",الطاجين
2,culture,What are the key elements of a traditional Moroccan wedding ceremony?,شنو هوما العناصر الأساسية ديال العرس المغربي التقليدي؟,aya,"A traditional Moroccan wedding ceremony typically includes several key elements that reflect the rich cultural heritage of Morocco. Here are some of the most important components:

1. The engagement: The wedding process in Morocco often begins with an engagement period, during which the families of the couple negotiate the marriage and make preparations. This stage is marked by exchanging gifts, visits between families, and the selection of a wedding date.

2. The wedding invitation: Moroccan weddings usually involve a grand celebration with family and friends. The invitation list can be extensive, and it is common for the couple's families to host the wedding reception together. 

3. The dress code: Traditional Moroccan wedding attire is colorful and elaborate. The bride typically wears a vivid caftan, a long silk dress adorned with embroidery and jewels, while the groom suits up in a traditional djellaba or a fine suit. Guests are usually expected to dress warmly, especially for winter weddings, with men wearing suitors or tuxedos and women donning elegant dresses or robes.

4. The wedding venue: Moroccan weddings can take place in various settings, from the confortable home of the couple's families to grand hotels or even outdoor locations. The venue is usually decorated lavishly with flowers, lanterns, and traditional Moroccan textiles.

5. The marriage contract: In Morocco, a legal marriage contract, known as a ""akdah,"" is signed by the couple and their witnesses. This document outlines the terms of the marriage, including any dowry or other financial arrangements. 

6. The bride's preparation: On the morning of the wedding, the bride usually gets ready with her female relatives and friends. She may undergo a traditional Moroccan hair treatment, known as ""henna,"" where her hands and feet are decorated with intricate henna designs. 

7. The arrival of the bride: The bride, accompanied by her father or male relative, makes her entrance at the wedding venue. This moment is often marked by music and cheering from the guests. 

8. The exchange of vows and rings: During the ceremony, the couple exchanges vows and rings, symbolizing their commitment to each other. A Muslim wedding may include a recitation of verses from the Quran and prayers for blessings. 

9. The reception: Following the official ceremony, the wedding reception takes place. This is a time for feasting, dancing, and celebrating with family and friends. Traditional Moroccan food, music, and entertainment are integral parts of the reception. 

10. The","عرايس مغربيات، لباس تقليدي، فوانيس، موسيقى عربية، مزين، حرشفة، سبوع، عشا وقهوة."
3,culture,What is the significance of the tea ceremony in Moroccan culture?,شنو هي الأهمية ديال طقوس الأتاي في الثقافة المغربية؟,aya,"The tea ceremony, known as ""sue coffee"" in Moroccan Arabic, holds a special place in Moroccan culture. It involves brewing and serving traditional Moroccan mint tea, often accompanied by sweet pastries. The ceremony is a社交活动，促进了社交互动和社区建设。它也象征着客气和好 host 性。","طقوس الأتاي مهمة في الثقافة المغربية لعدة أسباب:

1. **الحفاظ على التقاليد**: تمثل طقوس الأتاي أحد جوانب الثقافة المغربية التقليدية التي تعود إلى قرون. وهي جزء من الممارسات الاجتماعية والثقافية التي تتوارثها الأجيال.

2. **الاحتفال والمرح**: ترتبط طقوس الأتاي بالاحتفالات والمرح، حيث يتم تقديم الأتاي كشكل من أشكال الترفيه والابتهاج. وغالبًا ما تكون جزءًا من المناسبات السعيدة مثل الأعراس أو الاحتفالات المحلية.

3. **التواصل الاجتماعي**: توفر طقوس الأتاي فرصة للتواصل الاجتماعي والتفاعل بين أفراد المجتمع. حيث يتم تجمع الناس للاستمتاع بالموسيقى والرقص وتبادل القصص والذكريات.

4. **التعبير الفني**: تعتبر طقوس الأتاي شكلًا من أشكال التعبير الفني في الثقافة المغربية. حيث يتجلى هذا التعبر في الموسيقى والرقص والحوار والشعر الذي يرافق العرض.

5. **الحفاظ على التراث الثقافي**: تساهم طقوس الأتاي في الحفاظ على التراث الثقافي المغربي ونقله من جيل إلى آخر. فهي بمثابة ذاكرة حية للثقافة المغربية، حيث تروي قصصًا وتجارب من ماضي البلاد.

6. **التواصل مع الطبيعة**: غالبًا ما تقام طقوس الأتاي في الهواء الطلق، وسط الطبيعة الخلابة. وهذا يخلق تواصلًا بين البشر والطبيعة، ويعزز الشعور بالانتماء إلى المجتمع والبيئة.

7. **الاحترام والتقدير**: تعبر طقوس الأتاي عن الاحترام والتقدير للتقاليد والثقافة المغربية. وهي بمثابة تذكير بأهمية الحفاظ على التراث الثقافي وحمايته من الانحسار.

في الثقافة المغربية، تمثل طقوس الأتاي جزءًا لا يتجزأ من النسيج الاجتماعي والثقافي للبلاد. فهي تعكس القيم والعادات والتقاليد التي تتوارثها المجتمعات المغربية"
4,culture,How do Moroccans celebrate the birth of a new baby traditionally?,كيفاش كيحتافلو المغاربة بالولادة ديال الدراري الصغار بطريقة تقليدية؟,aya,"In Morocco, the birth of a new baby is a cause for celebration and there are several traditional customs and rituals that are often followed. Here are some of the common ways that Moroccans traditionally celebrate the birth of a new baby:

1. Announcing the Birth: News of the newborn's arrival is usually shared with family and friends, often through the use of colored smoke or firecrackers to signal the good news.

2. Babymoon: Before the birth, it is common for expecting mothers to take a babymoon, a short trip to relax and enjoy time alone with their partner and the unborn child.

3. Pregnant Women's Care: During pregnancy, the future mother receives special care and attention. Her diet and lifestyle are carefully monitored, and she may receive herbal remedies or traditional treatments to promote health and well-being.

4. Name-Giving Ceremony: Choosing a name for the baby is an important tradition. The baby's parents will often hold a ceremony where family and friends suggest names and offer blessings. The child's name is usually kept a secret until the official naming ceremony.

5. Naming Ceremony: A naming ceremony is typically held within the first few months of the baby's life. This ceremony involves the baby being introduced to family and friends, with the chosen name revealed and the child blessed. Family members may also provide the baby with gifts, especially if it is the first child.

6. Baby Dressing Ceremony: It is common to have a ceremony where the baby is dressed in new clothes, often provided by the parents' extended family. This tradition symbolizes blessing and protection for the newborn.

7. visits by Family and Friends: After the birth, friends and family members typically visit the new mother and baby at their home to offer congratulations, bring gifts, and provide assistance.

8. Babysitting and Helpful Services: It is customary for the parents of the newborn to receive help with babysitting and household chores from their extended family and community members. This helps the parents rest and bond with their new child.

9. Special Foods: Traditional Moroccan foods may be prepared to celebrate the birth, such as sweet treats, dates, and traditional baby cakes called ""pastilla"" or ""makouta.""

10. Spiritual Blessings: Religious blessings are often sought for the newborn, with prayers and rituals conducted by a mosque imam or religious leader.

These traditions vary across Morocco and are influenced by cultural and","بسم الله الرحمن الرحيم
حسب التقاليد المغربية الاصيلة المتبعة عند ولادة طفل ، يتم الاحتفال بهذه المناسبة السعيدة على طريقة ""الولادة"" او ""الحناء"" وهي طقوس متعددة المراحل تنطلق من لحظة ولادة الطفل وتستمر طوال فترة الطفولة وتتميز بالعديد من العادات والتقاليد التي تتجذر في المجتمع المغربي.
في هذه المناسبة ، تقوم الأم الجديدة أو أحيانا العائلة بأكملها بتزيين المنزل بالديكورات و الأضواء وشراء مستلزمات الطفل مثل الملابس ومواد الحمام و""الغبرية""(مستلزمات الحناء)
عند عودة الأم والطفل إلى المنزل بعد فترة قصيرة من الولادة ، يقوم أفراد العائلة والأصدقاء المقربين بعمل زيارة للأم والطفل تعرف ب ""زايغة الطفل"" أو ""شوف وجه الطفل"" ويكون حاملو الهدايا مسبقا ومتمنين للطفل ووالديه بالسعادة والبركة.
تقوم الأم في هذه المناسبة بطحن رأسها (رأس الطفل) في طشت (وعاء) مع إضافة الحناء وشوية زيت وزلقة (سكر) ويقوم أحد أفراد العائلة أو الصداقة بخلط هذه المكونات جيدا ثم يقوم بحني اليدين والقدمين للطفل (تسمى حناء الولدة) وغالبا ما يتم رسم وجه الطفل بالحناء من قبل محناة(عاملة في الحناء)
تقوم الأم أيضا بطهي بعض الحلويات التقليدية مثل ""الرقبة"" و""البراونية"" و""الكسكس بالخروف"" و""المهلة"" ... وغيرها وتقدمها للضيوف الحاضرين في المناسبة.
تستمر هذه الطقوس إلى ما بعد الولادة بحوالي شهر أو شهرين حسب العادات المتبعة في كل منطقة"
5,culture,What are the most important festivals and celebrations in Morocco throughout the year?,شنو هي أهم المهرجانات والاحتفالات في المغرب على طول السنة؟,aya,"Morocco has a rich cultural calendar with various festivals and celebrations taking place throughout the year. Here are some of the most important ones:

**Eid al-Adha:** This is one of the most important Muslim holidays, celebrating the sacrifice and devotion of Prophet Abraham. It involves sacrificing animals and sharing the meat with loved ones, as well as giving gifts and receiving blessings.

**Eid al-Fitr:** Marking the end of Ramadan, Eid al-Fitr is a time for celebration and coming together with family and friends. People wear new clothes, exchange gifts, and enjoy special dishes like pastilla and ta'amiya.

**Moroccan New Year (Aïd el-Kaláa):** Also known as ""New Year's Eve,"" this holiday celebrates the beginning of a new year on the traditional Moroccan calendar. It is marked by celebrations, family gatherings, and feasting.

**St. Bartholomew's Day (Fès):** Celebrated in Fezzan and other southern cities, this festival involves colorful processions, music, and traditional dances. It honors St. Bartholomew, the patron saint of Morocco.

**Moroccan Women's Day:** Held on March 9 each year, this day celebrates Moroccan women and their contributions to society. It is marked by various events and activities promoting women's rights and empowerment.

**King's Birthday (Annasas):** Celebrated on July 30, this holiday marks the birthday of the current King of Morocco. It involves parades, concerts, and public events, as well as a national holiday from work.

**Moroccan Food Festival:** This festival showcases the diverse and delicious cuisine of Morocco, with tastings, cooking classes, and cultural events celebrating traditional and modern Moroccan dishes.

**Marrakech Film Festival:** Held in April/May each year, this film festival celebrates cinematic culture and attracts filmmakers and audiences from around the world.

**Moroccan Book Day (Jomhuriya al-Kitab):** Celebrated on April 12, this day honors literature and reading, with book fairs, readings, and cultural events throughout the country.

**Moroccan Cultural Week:** This annual event celebrates Moroccan culture through music, dance, art exhibitions, and film screenings, showcasing the rich diversity of Morocco's traditions.

These are just a few examples of the many festivals and celebrations that take place in Morocco each year,","هناك العديد من المهرجانات والاحتفالات المهمة في المغرب على مدار السنة، وهذه بعضًا من أبرزها:

1. عيد الأضحى: وهو عيد إسلامي يحتفل به المغاربة كل عام، ويتميز هذا العيد بذبح الأضاحي وتقديم القرابين للمحتاجين. كما أنه وقت للتجمعات العائلية والاحتفالات الثقافية.

2. مهرجان الرقص الصوفي: يقام هذا المهرجان في مدينة مكناس الساحرة، ويضم عروضًا رائعة للرقص الصوفي الذي يجمع بين الحركات الإيقاعية والروحية والموسيقى التقليدية.

3. مهرجان الدار البيضاء السينمائي: يعد أحد أهم المهرجانات السينمائية في أفريقيا، ويقام في مدينة الدار البيضاء الساحلية كل عام، ويعرض أفلامًا روائية ووثائقية من مختلف أنحاء العالم.

4. احتفالات رأس السنة الأمازيغية: يحتفل الأمازيج، الذين يشكلون ثاني أكبر مجموعة عرقية في المغرب، برأس السنة الأمازيغية التي يطلق عليها ""إمشين"". يتميز هذا الاحتفال بالموسيقى والرقص التقليدي والأطعمة الشعبية.

5. مهرجان طنجة للثقافة: يقام هذا المهرجان في مدينة طنجة الساحلية بين المغرب وإسبانيا، ويضم مجموعة من الفعاليات الثقافية مثل الحفلات الموسيقية والمعارض الفنية والعروض المسرحية.

6. احتفالات عيد الربيع: يحتفل المغاربة بعيد الربيع أو ""الفصح"" كما يطلق عليه، وهو عيد مسيحي يحتفل به المغاربة أيضًا بتقاليد إسلامية مثل تبادل الهدايا وزيارة الأصدقاء والعائلات.

7. مهرجان الراي: يعد مهرجان الراي أحد أشهر المهرجانات الموسيقية في المغرب، ويتميز بأمسيات من الموسيقى التقليدية والحديثة على حد سواء، مع عروض من فنانين محليين وعالميين.

8. احتفالات عيد الفطر: يحتفل المغاربة بعيد الفطر الذي يختتم شهر رمضان المبارك، ويتميز هذا العيد بالصيام والصلاة والصدقة والتجمع"
6,culture,What is the significance of the djellaba in Moroccan clothing culture?,شنو هي الأهمية ديال الجلابة في ثقافة اللباس المغربي؟,aya,"The djellaba, a long outer garment, is an integral part of Moroccan clothing. It symbolizes tradition and is worn during special occasions.","الجلابة هي جزء مهم في الثقافة المغربية و ترمز للبساطة و الذوق الرفيع تمثل أيضا المرونة و سهولة الحركة و القدرة على التكيف مع كل الظروف المناخية.  تلعب دورا هاما في حياة المرأة المغربية، حيث أنها:

تسمح بالحركة و تسهلها
تتوفر على كم كبير من الأقمشة التي تتطلبها التقاليد و الضربات المغربية
تتوافق مع كل الأذواق و التصورات
تقدم مجموعة واسعة من الأنماط و التصاميم"
7,culture,How does music play a role in Moroccan cultural celebrations?,كيفاش كتلعب الموسيقى دور في الاحتفالات الثقافية المغربية؟,aya,"In Moroccan cultural celebrations, music holds a vital role, reflecting the nation's rich cultural diversity. Traditional Moroccan music blends African and Arabic influences, often featuring rhythmic drum beats and melodic guitar strumming. During festivals like Aid el-Fitr and Aid el-Adha, music fills the air with joy and celebration. The ""aejya"" or Berber flute, often plays melodies that evoke the beauty of the Atlas Mountains. Karakoach, a traditional Moroccan violin, adds to the melody with its distinctive twangy sound. Music in Moroccan celebrations not only brings people together but also tells stories of the country's cultural heritage, creating a shared experience that transcends generations.","الموسيقى جزء أساسي من الاحتفالات الثقافية المغربية، حيث تجمع بين مختلف الفئات العمرية. خلال هذه الاحتفالات، يمكنك أن تشاهد فنانين محليين يردّون الجميل للمجتمع من خلال أداء أغان تقليدية. عادة ما تكون الاحتفالات الثقافية فرصة للاستمتاع بالموسيقى الحية، و الرقص على الإيقاعات المعروفة و الاستمتاع بوقتك."
8,culture,What are the traditional crafts and artisanal practices in Morocco?,شنو هي الحرف والصناعة التقليدية في المغرب؟,aya,"Morocco is known for its rich tradition of crafts and artisanal practices, which have been passed down through generations. Here are some of the most common and well-known forms of traditional Moroccan craftsmanship:

1. Moroccan Tile Work: Moroccan tiles, often made from ceramic or clay, are known for their vibrant colors, intricate designs, and unique patterns. They are commonly used in floor and wall decor, as well as in the creation of decorative plates and bowls.

2. Weaver's Art: Weaver's art is a long-standing tradition in Morocco, especially in areas like Fezzan and Marrakech. Moroccan weavers create beautiful rugs, kilims, and cloth using natural dyes and traditional patterns. These artesanal items are highly sought-after for their craftsmanship and aesthetic value.

3. Copper Craftsmanship: Copper is a popular material in Moroccan craftsmanship due to its durability and versatility. Copper smiths create a variety of items such as tagines (伝統的な土器の鍋)、كازو (銅のカップ)、and even copper lamps and jewelry. The intricate designs and patina that develops over time add to the beauty of these handcrafted pieces.

4. Leather Work: Moroccan leather goods are renowned for their quality and craftsmanship. Tanzers, or leather tanners, use traditional methods to create soft and durable leather for items such as bags, wallets, shoes, and jewelry. The addition of intricate stitching and embossing further enhances these leather creations.

5. Wood Carving: Wood carving is a highly skilled trade in Morocco, with carvers creating beautiful furniture, door frames, decorative panels, and even traditional musical instruments like the bendir (a type of hand drum). The use of local woods, such as teak and mahogany, coupled with intricate designs, makes Moroccan wood carvings highly prized.

6. Metalwork and Silver Jewelry: Moroccan metalworkers create stunning silver jewelry and decorative items using traditional techniques. From intricate ring designs to ornate necklaces and bracelets, Moroccan silver jewelry is known for its detail and craftsmanship. In addition, metalworkers also create decorative items for the home, such as candle holders and vases.

7. Pottery and Clay Work: Pottery and clay work are common crafts in Morocco, with potters creating beautiful ceramic ware, tags, and decorative plates. The use of natural hues and traditional glazes gives these handcrafted pieces a unique Moroccan style.

These are just a few examples of the traditional crafts and artisanal practices that thrive in Morocco. The country's rich cultural heritage","تشتهر المغرب بحرفها التقليدية وصناعاتها اليدوية المتنوعة التي تعكس التراث الثقافي الغني للبلاد. فيما يلي بعض الحرف والصناعات التقليدية الشهيرة في المغرب:

1. صنفرة: تشتهر المغرب بصناعة الأثاث الخشبي، خاصة الأطاولات والكراسي والخزائن المصنوعة يدوياً. يتميز الأثاث المغربي بتصاميمه الفريدة ومزخرفاته التقليدية.

2. النسيج والسجاد: تعد الحرف النسيجية من الأعمال اليدوية الشهيرة في المغرب، بما في ذلك خياطة السجاد والفوانيس والوسائد وغيرها من الإكسسوارات المنزلية. تشتهر المغرب خاصة بسجادها اليدوي المنسوج بألوان زاهية ومقصوصة بتصاميم تقليدية مثل الزخارف الجيومترية والأشكال النباتية.

3. الفسيفساء: تتميز المغرب بتراثها الغني في فن الفسيفساء، والذي يستخدم بشكل شائع في تزيين المباني والأسطح والأرضيات. يتم استخدام القطع الملونة من الحجارة أو الزجاج لخلق تصاميم جميلة ومزخرفة.

4. صناعة الجلود: تعد الجلود من المواد التقليدية المستخدمة في المغرب، حيث تشتهر بصناعة الحزام الجلدية والأحذية والحقائب وغيرها من الإكسسوارات الجلدية. يتميز المنتجات الجلدية المغربية بجودتها العالية وتصاميمها الفريدة.

5. الفخار والبلاط: تشتهر المغرب أيضاً بصناعة الفخار والبلاط المزجاجي، حيث يتم إنتاج أواني فخارية جميلة وأطباق وأكواب وزجاجيات مزخرفة. كما تستخدم البلاطات الفخارية في تزيين المباني والأسطح.

6. الصيغة: تشتهر المغرب أيضاً بصناعة الحلي والمجوهرات، والتي غالباً ما تكون مصنوعة من الذهب والأحجار الكريمة والمعدات الثمينة الأخرى. تتميز المجوهرات المغربية بتصاميمها التقليدية التي تعكس التراث الثقافي للبلاد.

7. صناعة الزي التقليدي: يتميز المغرب بتراثه الغني في الأزياء التقليدية، بما"
9,politics,What is the role of the king in Morocco's political system?,شنو هو الدور ديال الملك في النظام السياسي المغربي؟,aya,"Morocco's king plays a significant role in the country's political system, holding both a ceremonial and a constitutional position. As the head of state, he serves as a symbol of national unity and is considered the supreme leader of the nation. The king's official title is ""King of Morocco and the Hassanid Dynasty."" While he doesn't hold executive power, he exerts significant influence over government policies and appointments. The king任命 (appoints) the prime minister and, with the pm's consent, appoints members of the cabinet. He also holds legislative power, as he can dissolve parliament and vet legislation before it becomes law. The king's role is largely ceremonial nowadays, but he retains a degree of political influence.",الملك هو رئيس الدولة وهو قائد أعلى للقوات المسلحة ويمارس السلطة السياسة حسب الدستور.
10,politics,How does the parliamentary system work in Morocco?,كيفاش كيخدم النظام البرلماني في المغرب؟,aya,"Morocco's parliamentary system is based on a hybrid model that combines elements of both a unicameral and bicameral system. The country's parliament is called the ""House of Representatives"" and is made up of 395 members, with 309 elected through direct voting in constituencies and 86 selected by professional associations and unions to represent specific interests. 

Here's a breakdown of how the parliamentary system works:

1. House of Representatives:
   - This is the lower house of parliament and is directly elected by Moroccan citizens.
   - Members serve four-year terms and are distributed among the country's regions based on population. Each region is guaranteed a minimum of two seats.
   - The House of Representatives has the power to pass laws, approve budgets, and hold government officials accountable.

2. Chamber of Advisors (House of Counsel):
   - This is the upper house of parliament and provides a consultative role. It is made up of 120 members:
     - 90 are elected by regional councils and professional associations, with each region having a guaranteed minimum of three seats.
     - 30 are appointed by the king from among distinguished citizens.
   - The Chamber of Advisors acts as a check on the lower house and provides advice and feedback on legislation. It also has some legislative powers, particularly in areas related to regional development and cultural matters.

3. Legislative Process:
   - Laws in Morocco are passed through a joint process by both houses of parliament.
   - Bills originating in either house must be approved by the other house before being presented to the king for assent.
   - The king can veto laws, but this can be overturned by a majority vote in one of the houses or by a constitutional court.

4. Government and Executive Power:
   - Morocco's government is headed by the prime minister, who is appointed by the king from the party with a majority in the House of Representatives.
   - The prime minister chooses the cabinet, which is responsible for implementing laws and managing day-to-day governance.
   - The king retains executive powers, including the ability to dismiss the prime minister and cabinet, dissolved parliament, and issue decrees during times of emergency.

5. Judicial System:
   - Morocco's judicial system is independent of the parliamentary and executive branches.
   - The highest court is the Constitutional Court, which has the power to review the constitutionality of laws and ensure their compliance with the constitution.
   - Below it are","كيخدم النظام البرلماني المغربي من خلال آليات ومؤسسات معينة. إليك بعض الجوانب الرئيسية لكيفية عمله:

1. **البرلمان**: يتكون البرلمان المغربي من مجلسين: مجلس النواب (الغرفة الأولى) ومجلس المستشارين (الغرفة الثانية). يمثل مجلس النواب الشعب، بينما يمثل مجلس المستشارين المصالح الجهوية والمحلية.

2. **الانتخابات**: يتم انتخاب أعضاء مجلس النواب عن طريق التصويت العمومي السري على أساس التمثيل النسبي والقوائم الحزبية. بينما يتم تعيين أعضاء مجلس المستشارين من قبل السلطات المحلية ومنتخبيها.

3. **التشريع**: يشارك البرلمان في عملية صنع القوانين من خلال تقديم مشاريع القوانين ومناقشتها وتعديلها. يجب أن تتم الموافقة على المشاريع القانونية من قبل كلا المجلسين قبل إرسالها إلى الملك للحصول على الموافقة الملكية.

4. **الرقابة**: يتمتع البرلمان بسلطة الرقابة على السلطة التنفيذية. يمكنه استدعاء الوزراء للاستجواب، والتصويت على قرارات الرفض أو الثقة في الحكومة، والتحقيق في الأعمال الحكومية.

5. **المشاركة**: يلعب البرلمان دورًا مهمًا في صياغة السياسات العامة من خلال اللجان البرلمانية والمناقشات. كما أنه يشرف على الميزانية العامة للدولة ويوافق عليها.

6. **العلاقة مع الملك**: يتمتع الملك بسلطات كبيرة في النظام البرلماني المغربي. يمكنه دعوة البرلمان للانعقاد واستبدال الحكومة وتعليق القوانين واتخاذ قرارات مهمة أخرى. ومع ذلك، يجب أن تتم الموافقة على القرارات الملكية الرئيسية من قبل البرلمان.

7. **التعاون بين السلطات**: هناك تعاون وتنسيق بين السلطة التشريعية والسلطة التنفيذية لضمان حسن سير العمل الحكومي. يمكن للحكومة تقديم مشاريع القوانين وتقديم الميزانية العامة، بينما يمكن للبرلمان مراجعة هذه المشاريع والموافقة عليها أو رفضها.

في الختام، يلعب النظام البرلماني المغربي دورًا حيويًا في الحوكمة من خلال توفير التوازن بين السلطات وضمان التمثيل الشعبي ومراقبة الأعمال الحكومية."
