Question ID,Category,Question (EN),Question (MA),Model,Response (EN),Response (MA)
1,culture,What are the traditional dishes served during Eid al-Fitr in Morocco?,شنو هي الماكلة التقليدية لي كتقدم فعيد الفطر فالمغرب؟,llama3.2,"In Morocco, traditional dishes served during Eid al-Fitr are often sweet and savory, reflecting the country's rich culinary heritage. Here are some popular dishes typically served during Eid al-Fitr:

1. Gormeh Jebnah: A hearty stew made with lamb or beef, dried fruits, and spices.
2. Zaalouk: A rich stew made with eggplant, onions, garlic, and spices.
3. Msemen: Thin pancakes filled with meat, onions, and spices, often served as a snack or light meal.
4. B'stilla: A savory pie made with layers of flaky pastry, meat, onions, and spices.
5. Makroud: Dates stuffed with almond paste and wrapped in dough, often served as a sweet treat.
6. Mhajab: Fried dumplings filled with meat, onions, and spices, often served as a snack or appetizer.
7. Karkadeh: A sweet drink made with rosewater, sugar, and dried fruits, often served during Eid celebrations.
8. Ghriba: Shortbread-like cookies made with almonds and powdered sugar, often flavored with orange blossom water.

These dishes are often served to guests and family members, and are an integral part of the Eid al-Fitr celebrations in Morocco. The traditional meals are typically eaten before the morning prayer, followed by a festive meal with friends and family in the afternoon.","بالتأكيد، في المغرب มمكن تقدر تاخد ""شعيرب"" أو ""شعرى بلاه"" وبتكون مأكلة شعبية إزاي تلاقا فيها عيد الفطر. وتقدم ""الشعيرب"" بتباعل العشبة من الفلفل والطعميات."
2,culture,What are the key elements of a traditional Moroccan wedding ceremony?,شنو هوما العناصر الأساسية ديال العرس المغربي التقليدي؟,llama3.2,"A traditional Moroccan wedding ceremony, known as ""akhdaf,"" is a vibrant and colorful celebration that combines Islamic and Berber traditions. Here are the key elements of a traditional Moroccan wedding ceremony:

1. **Pre-Wedding Preparations**: Before the actual wedding day, the bride's family prepares her with various rituals, including washing and dressing her in traditional clothing, applying henna to her hands and feet, and decorating her hair.
2. **Wedding Day Procession**: The groom's procession, led by his attendants, arrives at the bride's home or a designated location, accompanied by music, drums, and dancing. The groom is dressed in his finest attire, often decorated with gold and silver jewelry.
3. **Mawwal Ceremony**: The mawwal ceremony marks the beginning of the wedding celebration. The groom presents gifts to the bride, including money, jewelry, and other valuable items, which are then accepted by her family as a symbol of good luck and prosperity.
4. **Handfasting Ceremony**: In some parts of Morocco, a handfasting ceremony is performed, where the couple's hands are bound together with a ribbon or cord to signify their commitment to each other.
5. **Henna Application**: The bride's hands and feet are applied with henna, which is believed to bring good luck and happiness in marriage.
6. **Wedding Party**: The wedding party consists of close family members and friends, who participate in the celebration by dancing, singing, and playing music.
7. **Food and Drink**: Traditional Moroccan wedding food includes dishes such as couscous, tagine, and pastries, accompanied by coffee, tea, and other beverages.
8. **Marriage Contract**: The marriage contract, known as ""mudawana,"" is signed in the presence of witnesses, which outlines the terms of the union and ensures that both partners agree to their responsibilities within the marriage.
9. **Wedding Reception**: The wedding reception is a lively celebration that lasts late into the night, with music, dancing, and feasting.
10. **Post-Wedding Celebrations**: After the wedding day, the newlyweds are showered with gifts, money, and good wishes from their families and friends.

Overall, a traditional Moroccan wedding ceremony is a vibrant and joyful celebration that brings together family, friends, and community to honor the union of two people in love.","العناصر الأساسية للعرس المغربي التقليدي هي:

1.  العسل والشاي: هي عنصر أساسي في العرس المغربي، ويتم شرب الشاي منفردًا أو مع العسل.
2.  القهوة: بعض الأفراد يرغبون في تناول القهوة بعد تناول الشاي.
3.  الوجبة الصحية: يُقترح تناول وجبة صحية مثل اللحم المقلي، والخضروات، أو الفلuffles.
4.  الكعك أو الخبز: عادة ما يتم تناول الكعك أو الخبز بعد العرس.
5.  المشروبات الخفيفة: يُقدم المشروبات الخفيفة مثل الجوز والماء المخفض.

ومع ذلك، قد يختلف الشكل والإهتمام بالعناصر هذه فيdifferent عائلات ومجتمعات."
3,culture,What is the significance of the tea ceremony in Moroccan culture?,شنو هي الأهمية ديال طقوس الأتاي في الثقافة المغربية؟,llama3.2,"The traditional Moroccan tea ceremony, also known as ""Atay"" or ""Ghala"", is a significant cultural tradition in Morocco. While it's not unique to Morocco, the country has its own unique twist on this ancient practice.

In Moroccan culture, the tea ceremony is an integral part of hospitality and social etiquette. It's a way to welcome guests, show respect, and build relationships. The ceremony typically involves:

1. Preparation: Green tea leaves are steeped in hot water, and sugar (or honey) is added to taste.
2. Serving: The host offers the tea to the guest with both hands, usually in small cups.
3. Socializing: Guests engage in conversation, and the host takes an active role in facilitating social interaction.

The significance of the Moroccan tea ceremony lies in its importance as a:

1. Symbol of hospitality: The act of serving tea is a way to demonstrate respect, kindness, and generosity towards guests.
2. Cultural tradition: The ceremony has been passed down through generations, and each host takes pride in perfecting their skills.
3. Social bonding: Sharing tea creates a sense of unity and camaraderie among hosts and guests.
4. Spiritual significance: In some Moroccan cultures, the tea ceremony is believed to have spiritual connotations, representing the meeting between two souls.

In modern Morocco, the traditional tea ceremony continues to play an essential role in:

1. Business relationships: Building partnerships and forging connections often involve sharing tea.
2. Family gatherings: Tea ceremonies are an integral part of family reunions and special occasions like weddings.
3. Community events: The tea ceremony is a common feature at cultural festivals, weddings, and other social gatherings.

In summary, the Moroccan tea ceremony is an essential aspect of Moroccan culture, highlighting the importance of hospitality, social bonding, and community building in everyday life.","طقوس الأتاي هي جزء أساسي من الثقافة المغربية ويمثلها جزءًا هامًا من التقاليد والتraditions في هذا البلد. وتعتبر هذه الطقوس важة لأنها تعكس تاريخًا وأخلاقيات الشعب المغاربي.

الأهمية ديال طقوس الأتاي:

1.  **تعريف الهوية الوطنية**: تُعد طقوس الأتاي جزءًا أساسيًا من الهوية الوطنية المغربية. تشكّلها الشخصيات الثقافية والسياسية للمجتمع الموريتاني، وتشكل معبداً للفكر الجماعي حول هوية هذا الشعور.
2.  **التراث والتقاليد**: تُعد طقوس الأتاي جزءًا من التراث التقليدى المغاربي. تشكّلها التقاليد والتراث الثقافي للمجتمع الموريتاني، وتشكل معبداً للفكر الجماعي حول قيمات وأخلاقيات المجتمع.
3.  **التواصل الاجتماعى**: تُعد طقوس الأتاي وسيلة efficient للتأمل والتسجيل في العلاقات الاجتماعية في المجتمع الموريتاني. تشكّلها النصائح والأشعار التي تعبر عن الشعور بالارتباط والتعاون بين الفرد والجماعة.
4.  **التأثير على الفكر الجماعي**: تُعد طقوس الأتاي جزءًا أساسيًا من الفكر الجماعي للمجتمع الموريتاني. تشكّلها النصائح والأشعار التي تعبر عن الشعور بالارتباط والتعاون بين الفرد والجماعة، وتساعد على بناء الخلاصة الإيجابية حول المشكلات والتحديات.
5.  **التنوع الثقافي**: تُعد طقوس الأتاي من عينة التبادل الثقافى اللي بيتم من بين الثقافات المتعددة اللي بتعبر عن أعماق الشعور اللي بيحتفظ به المجتمع الموريتاني.

بالتالي، طقوس الأتاي هي جزء أساسي من الثقافة المغربية، ويسهم في تعريف الهوية الوطنية والمجتمع الموريتاني."
4,culture,How do Moroccans celebrate the birth of a new baby traditionally?,كيفاش كيحتافلو المغاربة بالولادة ديال الدراري الصغار بطريقة تقليدية؟,llama3.2,"In Morocco, the traditional celebration of a new baby's arrival is a significant event, often referred to as ""Khurbah"" or ""Saba'a"". The celebration typically follows Islamic traditions and lasts for 40 days after the baby's birth. Here are some key aspects of the Moroccan tradition:

1. **Visits and blessings**: Family and friends visit the new parents, bringing gifts, food, and blessings (in Arabic, ""khair"" or ""alhamdulillah""). The visitors offer prayers and words of encouragement to the new family.
2. **Food and drink**: Traditional foods like dates, pastries, and tea are served during the visits. Dates are considered a symbol of good luck and prosperity in Moroccan culture.
3. **Gift-giving**: Visitors often bring gifts, such as clothing, toys, or money, which are appreciated by the new parents.
4. **Prayers and blessings**: Mosques and homes often have special prayers and blessings for the newborn during this period. The imam may perform special prayers, known as ""Khurbah prayers,"" to ask Allah's protection and blessings for the child.
5. **Celebrations on the 40th day**: On the 40th day after birth (Saba'a), there is a grand celebration, often with family gatherings, traditional foods, and festivities. This marks a significant milestone in Islamic tradition, where the baby is considered to be 40 days old, equivalent to one month of life.
6. **Traditional clothing**: The new parents may dress their child in traditional Moroccan clothing, such as a ""dishdasha"" or a ""kumis"", which are ornate and colorful garments.

Overall, the celebration of a new baby's arrival in Morocco is a joyful and vibrant event that emphasizes community, family, and spiritual blessings.","الأسطورة عن عادة التسمية بالدراري الصغار عند المغاربة في المغرب، لم يُثبت أنهم يقومون بذلك. وبالفعل، يُعتقد أن التسمية بالدراري الصغار هي عادة تقليدية لدى الشعوب المختلفة في العالم، وربما تكون مشكلة معقدة للاستمراء.

أما بالنسبة للولادة، فلم تُثبت أي صلة بينها وبين عادة التسمية بالدراري الصغار."
5,culture,What are the most important festivals and celebrations in Morocco throughout the year?,شنو هي أهم المهرجانات والاحتفالات في المغرب على طول السنة؟,llama3.2,"Morocco is a culturally rich and diverse country with a blend of Arab, Berber, and Mediterranean influences. The following are some of the most important festivals and celebrations in Morocco throughout the year:

1. Eid al-Fitr (End of Ramadan):
Celebrate the end of Ramadan, the Islamic holy month of fasting, with family gatherings, traditional foods, and gifts.

2. Eid al-Adha (Festival of Sacrifice):
Honoring Abraham's willingness to sacrifice his son, this festival involves sacrificing an animal, usually a sheep or goat, and distributing its meat among friends and neighbors.

3. Mawlid al-Nabi (Birth of the Prophet Muhammad):
Celebrating the birth of the Prophet Muhammad, this festival is marked by processions, music, and traditional foods in many parts of Morocco.

4. Ramadan:
The holy month of fasting, during which Muslims abstain from food and drink from dawn to sunset.

5. Nowruz (Persian New Year):
 Celebrated by both Moroccan Jews and Berbers, this ancient festival marks the beginning of spring with feasts, decorations,","بالتأكيد، يمكننا ذكر بعض المهرجانات والاحتفالات الأهمة في المغرب على طول السنة:

1-  عيد الفطر: وهو عيد شريف يเฉลل على تاني 10 من الشوال، ويُعلن بعد الصوم العيد لانها عدة صومه في الشهر السابق.

2-  عيد الأذان والقاء : هو احتفال يเฉลل على التاسع من رجب، وهو اليوم الذي يحول فيه الناس من شهر السوم إلى شهر العيد .

3 -الطواف: وهو احتفال يเฉลل في شهر رمضان، يُحتفل بالطواف في 28 من رمضان."
6,culture,What is the significance of the djellaba in Moroccan clothing culture?,شنو هي الأهمية ديال الجلابة في ثقافة اللباس المغربي؟,llama3.2,"The djellaba (also known as jilbāba or chaleh) is a traditional long, enveloping cloak originating from Morocco and other parts of North Africa. It has significant cultural, social, and practical importance in Moroccan clothing culture.

Significance of the djellaba:

1. **Social Status**: In Morocco, the djellaba is often seen as an indicator of social status, with wealthier individuals wearing more luxurious fabrics and intricate designs.
2. **Cultural Identity**: The djellaba is a symbol of Moroccan cultural heritage and identity, reflecting the country's rich history and Islamic traditions.
3. **Practicality**: The djellaba serves multiple purposes, such as protecting against the elements (sun, wind, cold), modesty, and providing warmth during colder months.
4. **Formal Occasions**: The djellaba is often worn on formal occasions like weddings, holidays, and special events, signifying respect for tradition and community.
5. **Respect for Elders**: In Moroccan culture, elders are often adorned with traditional clothing, including the djellaba, as a sign of respect and deference.

Regional variations:

While the djellaba is widely recognized in Morocco, there are regional variations and differences in style, fabric, and design. For example:

* **Berber** region: The Berber people (also known as Amazigh) wear the djellaba with distinctive colors and patterns, often featuring traditional tribal symbols.
* **Rif Mountain region**: The Rif mountain dwellers wear a shorter version of the djellaba, known as ""chaleh rif,"" which is lighter and more practical for their rugged terrain.

In conclusion, the djellaba holds immense cultural significance in Moroccan clothing culture, representing tradition, social status, and respect for community. Its versatility and practicality have made it an enduring part of Moroccan attire for centuries.","الجلابة هي جزء أساسي من الثقافة اللباسية المغربية. تُعتبر الجلابة تمثلت في الحفاظ على سرعة النظر وسرعة الحركة، مما يعزز الراحة والاستقلالية في التحرك.

تتميز الجلابة بتقنية ""النظر-التحكم"" التي تعني أن الشخص يضغط على حبل الطرف الأيسر للنظر إلى الأمام، بينما يحافظ على النظرة على الطرف الأيمن. هذا الطريقة المزعجة لتحقيق سرعة وتفادي الحوادث، ولو استخدمها الشخص بسرعة وجذة واضحة يمكنه أن يتمكن من التحرك بسرعة معًا.

تستثمر الجلابة أيضًا في العدالة الاجتماعية، حيث توفر فكرة المتبادل بين الرأي والمشاعر. هذا الشعور بالرغبة في التعبير عن المشاعر والرغبات بدلاً من إطلاق الكلام، يُعد هذا جزءًا أساسيًا من الثقافة اللباسية المغربية.

الجلابة تشكل أيضًا من خلال استخدام الألوان والمواد المكونة لاستعارة الطرق الترفيهية وتجديد الفن."
7,culture,How does music play a role in Moroccan cultural celebrations?,كيفاش كتلعب الموسيقى دور في الاحتفالات الثقافية المغربية؟,llama3.2,"Music plays a significant role in Moroccan cultural celebrations, particularly during traditional and religious festivities. Here are some ways music contributes to these celebrations:

1. **Imambrahimiyya performances**: In Morocco, the Imambrahimiyya is an important musical instrument used to accompany prayers and hymns during Islamic festivals like Eid al-Fitr and Eid al-Adha.
2. **Traditional ensembles**: Moroccan traditional ensembles, such as the qraqeb (a type of rattle) or the oud (a stringed instrument), are often performed during celebrations like weddings, birthdays, and harvest festivals.
3. **Djembe drums**: The djembe is a popular drum in Morocco, used in various celebrations, including weddings, processions, and festivals like Mawlid al-Nabi (the Prophet Muhammad's birthday).
4. **Music in traditional attire**: In some Moroccan regions, music is an integral part of traditional attire, such as the qawwali songs sung by men while dressed in traditional robes.
5. **Sufi devotional music**: Sufi devotional music, known as ""maqamat,"" plays a significant role in Moroccan cultural celebrations, particularly during spiritual gatherings and rituals like the ""Mawlid"" (the birthday of the Prophet Muhammad).
6. **Instrumental fusion**: Modern Moroccan musicians often blend traditional instruments with Western or international styles to create unique fusion sounds that reflect the country's diverse musical heritage.
7. **Wedding ceremonies**: Music is an essential element in Moroccan wedding ceremonies, where traditional ensembles play during the processions, dances, and other celebrations.

Some notable Moroccan festivals that feature significant music contributions include:

1. **Mawlid al-Nabi** (the Prophet Muhammad's birthday)
2. **Eid al-Fitr** (the Festival of Breaking the Fast) and **Eid al-Adha** (the Festival of Sacrifice)
3. **Hajj al-Kabir** (the Great Pilgrimage to Mecca)
4. **Imam al-Quds Day** (a celebration of Jerusalem as a holy city)

In summary, music plays a vital role in Moroccan cultural celebrations, reflecting the country's rich musical heritage and its deep connection with Islamic traditions, folk customs, and national identity.","الموسيقى تلعب دورًا كبيرًا في الاحتفالات الثقافية المغربية. وهي جزء من الهوية الثقافية الموجودة في المجتمع المغربي، ويمكن العثور عليها في الأعياد والتجمعات الحيوية.

في المغرب، يُعتبر الموسيقى جزءًا أساسيًا من الاحتفالات الثقافية. وتستخدم عادةً في احتفالات الأعياد والمعاملات الاجتماعية. يمكن أن تكون هذه الموسيقى تقليدية أوModern، ويمكن العثور عليها في الأماكن العامة مثل الملاعب والبُدايَ.

الموسيقى في الاحتفالات المغربية
تُعتبر الموسيقى في الاحتفالات المغربية جزءًا أساسيًا من الهوية الثقافية. وتستخدم عادةً لتسليط الضوء على الأحداث الثقافية والاجتماعية. يمكن أن يكون هذا الموسيقى التقليدية، أوModern ويمكن العثور عليها في الأماكن العامة.

التنوع الثقافي
يُعتبر التنوع الثقافي في المغرب جزءًا أساسيًا من احتفالاته الثقافية. وتشمل هذه الاحتفالات الموسيقى والطاقة الثقافية الموجودة في المجتمع. يمكن أن تكون هذه الاحتفالات التقليدية، أوModern ويمكن العثور عليها في الأماين العامة.

التأثير على الثقافة
يُعتبر تأثير الموسيقى في احتفالات المغربية على الثقافة جزءًا أساسيًا من الهوية الثقافية الموجودة في المجتمع. يمكن أن يكون هذا التأثير Positive، Negative ويمكن العثور عليه في الأماين العامة.

الموسيقى في الاحتفالات المغربية
الموسيقى تلعب دورًا كبيرًا في الاحتفالات الثقافية المغربية. وهي جزء من الهوية الثقافية الموجودة في المجتمع المغربي، ويمكن العثور عليها في الأعياد والتجمعات الحيوية.

التأثير على الثقافة
يُعتبر تأثير الموسيقى في احتفالات المغربية على الثقافة جزءًا أساسيًا من الهوية الثقافية الموجودة في المجتمع. يمكن أن يكون هذا التأثير Positive، Negative ويمكن العثور عليه في الأماين العامة"
8,culture,What are the traditional crafts and artisanal practices in Morocco?,شنو هي الحرف والصناعة التقليدية في المغرب؟,llama3.2,"Morocco is renowned for its rich cultural heritage and vibrant artisanal traditions, which have been passed down through generations. Here are some of the most notable traditional crafts and artisanal practices in Morocco:

1. **Ceramics and Pottery**: Moroccan ceramics have a long history dating back to the 10th century. Local artisans create beautiful pieces using traditional techniques such as hand-painting and glazing.
2. **Woodcarving**: Woodcarvings are an integral part of Moroccan craftsmanship, with intricate designs and patterns often inspired by Arabic calligraphy and geometric shapes.
3. **Textiles**: Traditional Berber textiles, known as ""beni ourain"" or ""aït benhaddou,"" are highly prized for their vibrant colors, patterns, and quality. These textiles are woven using a combination of hand-weaving and natural dyes.
4. **Tapestry Weaving**: Moroccan tapestries, often depicting scenes from mythology and everyday life, are renowned for their intricate designs and use of bright colors.
5. **Sewing and Embroidery**: Traditional Moroccan clothing, such as djellabas and kaftans, feature elaborate embroidery and ornate stitching techniques that require great skill and patience.
6. **Glassblowing**: Moroccan glassmakers have perfected the art of creating intricate glassware, including delicate vases, intricately patterned tiles, and colorful jewelry.
7. **Metalwork**: Skilled metalworkers create exquisite pieces using traditional techniques such as casting, forging, and enameling.
8. **Leatherworking**: Morocco's leather industry is famous for its high-quality saddles, bags, and shoes, all crafted with great care and attention to detail.
9. **Jewelry Making**: Moroccan jewelry makers are known for their bold designs, vibrant colors, and use of precious stones like turquoise, silver, and gold.
10. **Barghouane and Zellij Tilework**: These traditional tilemaking techniques involve creating intricate geometric patterns using small pieces of tile, often in shades of blue and green.
11. **Furniture Making**: Skilled artisans create beautiful furniture pieces using traditional woodcarving and joinery techniques.
12. **Paper Crafts**: Moroccan papermakers create intricately decorated papers, such as hand-painted watercolor designs or embroidered flowers.

These artisanal practices are not only a testament to Morocco's rich cultural heritage but also play an essential role in preserving traditional skills and supporting local communities.

To experience these crafts","الحرف والصناعة التقليدية في المغرب تشكل جزءًا هامًا من الثقافة والتراث المغربي. يوجد العديد من الحرف والأدوات التقليدية التي تمارسها الجماهير والفئات المحلية في جميع أنحاء البلاد. بعض الأمثلة على هذه الحرف والصناعة التقليدية هي:

1- الأشبال : تعتمد الأسطول البحرية المغربي في البداية على المركبات المائية المصنعة بطريقة تقليدية، وتستخدم الأشبال في بناء السفن.

2- العبء : يعتمد هذا الحرف التقليدية على تحفيز الإنجاز وضمان جودة العمل من قبل الفنيين. حيث يستخدم الطلبة والصناعيون المنظمات والمعسسات المملكين.

3- النحت: يعتبر النحت جزءًا هامًا من الثقافة المغربية، ويتميز بتحف تقليدية مثل الوراثات التي تعكس التأثيرات المحلية والثقافية. 

4- السمن : هو مصدر الماء الذي يُستخدم في الأماكن الصحية والزراعية. ويشكل هذا الحرف جزءًا مهمًا من ثقافة المنطقة.

5- الخمير : يستخدم الفلاحون والمشروعات اليدوية هذا الحرف في تقليل الدهون في البضائع والتقليبات.
6- النسيج: يعتبر هذا الحرف هامًا لثقافة المنطقة وتسوق المنتجات التقليدية مثل الشال وملابس الأفراد."
9,politics,What is the role of the king in Morocco's political system?,شنو هو الدور ديال الملك في النظام السياسي المغربي؟,llama3.2,"In Morocco's political system, the King plays a unique and complex role that blends traditional and modern elements. Here are some key aspects of the King's role:

1. Head of State: The King is the head of state and serves as the symbol of national unity and identity.
2. Commander-in-Chief: The King holds the title of ""Commander-in-Chief of the Armed Forces,"" giving him significant authority over the military.
3. Symbolic Role: The King is often seen as a unifying figure, embodying Moroccan culture and traditions. He plays an important role in promoting national identity and unity.
4. Legislator: The King has the power to appoint members of the House of Representatives (Majlis al-Nuwab) and dissolve it when necessary.
5. Appointees: The King appoints judges, ambassadors, and other high-ranking officials, including the Prime Minister and cabinet ministers.
6. Constitutional Monarchy: Morocco is a constitutional monarchy, which means that the King's powers are limited by the constitution and parliamentary institutions.
7. Representative Role: The King represents Morocco internationally and domestically, often hosting foreign dignitaries and promoting national interests.

However, it's worth noting that:

1. Limited Powers: While the King has significant symbolic and representative roles, his actual powers are largely ceremonial and advisory.
2. Influence over Government: Despite limited powers, the King can exert influence over government policies through informal channels, such as personal meetings with officials and advisors.
3. Succession: The King's succession is determined by a complex system of hereditary succession, where the eldest son or male relative inherits the throne.

Overall, Morocco's monarchic system balances traditional and modern elements, reflecting the country's unique cultural heritage and its efforts to maintain stability and continuity while adapting to changing circumstances.","بالتأكيد، الدور الملكي في النظام السياسي المغربي هو دور أساسي ويتمتع بتلك الحقوق والسلطات في البلاد. يركز الملك على دور التأثير الديمقراطي rather than السلطة التنفيذية، وتوفر ملكية ذات طابع دستوري على هذا الرقابة.

هناك بعض الميزات الرئيسية في دور الملك:

1. **الحفاظ على النظام**: يتمتع الملك بسمعة ملوكية عالية وإمكانية توحيد الأفراد حول الديمقراطية وتعزيز القيم الوطنية.
2. **النصيحة السياسية**: يلعب الملك دورًا مهمًا في النصيحة السياسية وتوفير المشورة إلى رئيس الحكومة أو البرلمان.
3. **العلاقات الدولية**: تمثلت في توفير الدعم والمشاورة مع دول العالم، ويتميز هذا الرقابة بالاستفادة من خبرات الملك في العلاقات الدولية.
4. **المشاركة في النشاط المدنية**: يُسمح لملك المغرب بالمشاركة في الأنشطة المدنية والمحلية وتعزيز الاهتمام للشعب ببعض الأمور.

هناك بعض القيود على دور الملك:

1.  **السيطرة** : من غير الممكن لملك المغرب التنفث في السيطرة على الحكومة أو البرلمان.
2.  **الإجراءات القانونية**: يُعتمدت معظم الوجبات القانونية على تعريفي القوانين واللوائح، ويمنع الملك من إصدار الأوامر القانونية.
3.  **السيطرة على الميزانية** : يتم تعيين رئيس الحكومة أو البرلمان للاجتماع مع ملك المغرب وتقديم البت في العلاقات المالية.

هناك بعض الاستياعات إلى دور الملك:

1. **المشاركة في الاقتراحات**: يُسمح للملك بالاستشارة في الأمور السياسية، ويلعب هذا دورًا مهمًا في تعزيز الاهتمام للشعب ببعض الأمور.
2.  **التأثير على القرارات** : يمكن لملك المغرب أن يؤثر على القرارات السياسية من خلال الن"
10,politics,How does the parliamentary system work in Morocco?,كيفاش كيخدم النظام البرلماني في المغرب؟,llama3.2,"The parliamentary system in Morocco is a unique blend of traditional and modern elements. Here's an overview:

**Structure:** The Moroccan parliament, known as the ""Al-Shura"" (Assembly), is composed of two chambers: the Chamber of Representatives and the Council of Advisors.

1. **Chamber of Representatives (Majlis al-Nuwab):**
	* This chamber has 395 members elected by universal suffrage for a four-year term.
	* Members are elected through a proportional representation system, with each party allocated seats based on its percentage of votes received in the national election.
2. **Council of Advisors (Shura al-Ma'arufiyya):**
	* This chamber has 110 members appointed by the king for life.
	* Members are selected from various fields, including politics, economy, education, and culture.

**Key features:**

1. **Monarchic system:** Morocco is a constitutional monarchy with an absolute monarch (currently King Mohammed VI) serving as head of state.
2. **Constitutional framework:** The Moroccan Constitution, adopted in 2011, establishes the principles of democracy, human rights, and separation of powers.
3. **Legislative power:** Parliament has the primary legislative power, while the king plays a symbolic role in approving laws passed by parliament.
4. **Executive branch:** The Prime Minister is appointed by the king, but must be approved by the Chamber of Representatives for confirmation.

**Challenges and criticisms:**

1. **Limited representation:** The Council of Advisors, composed of monarchists and conservative figures, has been criticized for representing an outdated and exclusive perspective.
2. **Constitutional constraints:** The 2011 Constitution has faced challenges from some parliamentarians and critics who argue that it does not provide sufficient guarantees for individual freedoms or checks on the executive branch.
3. **Limited parliamentary oversight:** The king's powers remain significant, and there have been criticisms that parliament has failed to exercise adequate oversight over the government.

**Reforms:**

In recent years, Morocco has implemented various reforms aimed at strengthening democratic institutions and increasing transparency:

1. **Constitutional amendments:** In 2018, the Moroccan Constitution was amended to include provisions on human rights, women's representation, and the protection of freedom of expression.
2. **Electoral reform:** The electoral system has been revised to allow for greater representation of women and minorities in parliament.

In summary, Morocco's parliamentary system is a complex blend of","النظام البرلماني في المغرب هو نظام سياسي ملكي قائم على الدستور، والذي يعدّ من أكثر النظام المتبع في المغرب. يمكن أن يكون هذا نظامًا فعالًا إذا تم تطبيقها بشكل صحيح.

المساهمات:

*   تشكّل البرلمان في المغرب مجلسًا مميزًا يحكم السياسة في البلاد، ويتألف من 395 สมيثة. ينتخب الأفراد من بينهم لمدة 5 سنين.
*   يتعين على كل سميث أن يهتم بالشؤون العامة، ويحافظ على موقف منصبوي مستقر.
*   يتولى البرلمان المسؤولية عن تطبيق الدستور، وسياسات الحكومة.

    *   يتم تعيين وزير في كل مجال لتنفيذ السياسة الحكومية.
    *   يتم تعيين وزير في كل مجال لتنفيذ السياسة الحكومية.
*   يشترط على الوزراء أن يكونوا موثوقين، وأنهيتهم في أي وقت يمكنهم."
