Question ID,Category,Question (EN),Question (MA),Model,Response (EN),Response (MA)
1,culture,What are the traditional dishes served during Eid al-Fitr in Morocco?,شنو هي الماكلة التقليدية لي كتقدم فعيد الفطر فالمغرب؟,gemma,"**Traditional dishes served during Eid al-Fitr in Morocco:**

**1. M'roussou:**

- A savory pastry made with semolina, almonds, eggs, and sugar.
- Often filled with meat, vegetables, or cheese.


**2. Basbousa:**

- A sweet cake made from semolina, sugar, and rose water.
- Often flavored with orange blossom or cinnamon.


**3. Khoubz el-ʿId:**

- A special flatbread baked for Eid al-Fitr.
- Made with semolina, olive oil, and herbs.


**4. Shakshuka:**

- A traditional Moroccan stew made with eggs, tomatoes, peppers, onions, and spices.
- Often served with msemen (Moroccan flatbread).


**5. Tajine of Meat and Dried Fruits:**

- A stew made with meat, dried fruits, vegetables, and spices.
- Popular during Eid al-Fitr for its richness and flavor.


**6. Chermoula:**

- A flavorful sauce made with herbs, spices, olive oil, and sometimes seafood.
- Often served with fish or seafood dishes.


**7. Fattou:**

- A salad made with toasted bread cubes, herbs, vegetables, and olive oil.
- Often served as an appetizer or side dish.


**8. Loubiah:**

- A bean stew made with vegetables and spices.
- Popular as a breakfast or lunch dish during Eid al-Fitr.


**9. Briouat:**

- Pastries filled with various ingredients such as meat, vegetables, or cheese.
- Popular as snacks or desserts.


**10. Ghraybeh:**

- A cookie made with dates, almonds, and spices.
- Often given as gifts or used in trays for Eid al-Fitr.","نعم،شنو هي الماكلة التقليدية لي كتقدم فعيد الفطر فالمغرب. تُستخدم الشنو لتصنيع الفطر فيCondition جيدة، ويمكن استخدامها أيضًا لتخزين الفطر طويلًا."
2,culture,What are the key elements of a traditional Moroccan wedding ceremony?,شنو هوما العناصر الأساسية ديال العرس المغربي التقليدي؟,gemma,"**Key Elements of a Traditional Moroccan Wedding Ceremony:**

**1. Mehndi Ceremony:**

- Henna paste is applied to the bride's hands, feet, and arms.
- The paste is believed to protect the bride from evil spirits and bring her luck.
- The ceremony is accompanied by music, singing, and traditional Moroccan snacks.


**2. Nikah Ceremony:**

- The legal and religious ceremony where the couple exchange vows.
- The imam (Islamic scholar) reads verses from the Quran and witnesses sign the contract.
- The dowry is presented to the bride's family.


**3. Walimah Ceremony:**

- A celebratory feast held after the Nikah ceremony.
- Traditional Moroccan dishes, music, and dancing are featured.
- The gathering signifies the official acceptance of the bride into the groom's family.


**4. Segnatin Ceremony:**

- The bride's family throws rose petals at the couple as they exit the Nikah ceremony.
- This symbolizes blessings and good fortune.


**5. Sofra Ceremony:**

- A private dinner party held the night before the wedding.
- The couple shares a traditional Moroccan meal with close friends and family.


**6. Traditional Attire:**

- The bride wears a flowing white gown called a ""Jebba"" and a veil called a ""Hijab.""
- The groom wears a traditional Moroccan suit called a ""Bisht"" and a Fez hat.


**7. Music and Dance:**

- Traditional Moroccan music and dance performances are an integral part of the ceremony.
- The lively tunes and energetic moves create a joyful and celebratory atmosphere.


**8. Candle Lighting:**

- Candlelight is used extensively to create a romantic and mystical ambiance.
- The flickering flames symbolize hope and new beginnings.


**9. Flower Decorations:**

- Brightly colored flowers are used to decorate the venue, creating a beautiful and fragrant atmosphere.
- Roses, lilies, and jasmine are traditional Moroccan wedding flowers.


**10. Gifts and Favors:**

- Guests are expected to exchange gifts and favors as a token of appreciation.
- Traditional Moroccan handicrafts and spices are popular gifts.","* **الفنوس:** يُغلف عرس المغربي التقليدي بالفنوس البيضاء الذي يُلفّ حول جميع أجزاء الجسم.
* **الزيّن:** يُلبس العروس تقليديًا ستيلا جودة (ستيلا من الحبر) ولهبة.
* **الخاتم:** يُضع خاتم كبير يُطلق عليه ""الخاتم الحسن"" في ذيل البنت.
* **الورود:** يُقدم العرس مغربي التقليدي وردود كبيرة في جميع الأماكن."
3,culture,What is the significance of the tea ceremony in Moroccan culture?,شنو هي الأهمية ديال طقوس الأتاي في الثقافة المغربية؟,gemma,"**The tea ceremony holds immense significance in Moroccan culture:**

**1. Cultural Identity and Tradition:**

* The ceremony reflects Morocco's rich heritage and nomadic origins.
* The traditional mint tea blend is a symbol of Moroccan identity and hospitality.


**2. Social Gathering:**

* Tea ceremonies are central to social interaction and building relationships.
* They provide a space for informal gatherings, family celebrations, and business meetings.


**3. Ritual and Tradition:**

* The ceremony is a meticulous and elaborate ritual involving specific steps and gestures.
* The preparation and serving of tea are seen as an art form, demonstrating the host's hospitality and attention to detail.


**4. Symbolic Significance:**

* The mint tea leaves symbolize prosperity and good fortune.
* The act of pouring and receiving the tea is seen as a symbolic exchange of friendship and hospitality.


**5. Cultural Expression:**

* The tea ceremony is often accompanied by traditional music, poetry, or storytelling.
* It serves as a platform for cultural expression and sharing local traditions.


**6. Social Hierarchy:**

* The ceremony reflects the hierarchical structure of Moroccan society.
* The host assumes a position of authority and is responsible for welcoming and entertaining guests.


**7. Stress Relief and Relaxation:**

* The ceremony provides a moment of respite from the daily hustle and bustle.
* The aromatic scent of mint tea and the ritualistic gestures can be calming and stress-relieving.","**نعم، الشnano هي الأهمية ديال طقوس الأتاي في الثقافة المغربية.** 

الشnano هو طبق غامض شعبي يتكون من لحوم ضحية مقبلة بالزعان، والزيان، والهندب. وهو وجبة شهية في المغرب وعادة ما يتم تقدمه في المناسب المستوى.

**يشتهر الشnano في ثقافة المغربية لعدة أسباب:**

* **الاستخدام المستمر:** يتم استخداده تقليديًا في المناسب الختية، مثل الولادات، الزيارات والعزايات.
* **الوصفات القديمة:** تم تحضير الشnano منذ زمن طويل، مما يشير إلى أهميته الثقافيًا.
* **الفن والتأصيل:** تحضير الشnano عملية فنية تتطلب مهارة وخبرات.
* **الشعور بالوجبة:** الشnano يقدم شعورًا بالوطنية والتقليد.

وهناك جوانب أخرى من الأهمية ديال الشnano في الثقافة المغربية، مثل:

* **التربية:** يتم تعليم الأطفال تحضير الشnano منذ صغارهم.
* **الاجتماع:** يتم تقدمه في المناسب الاجتماعية كجزء من الثقافة الأMeal.
* **التاريخ:** يشير الشnano إلى تاريخ المغرب القديم."
4,culture,How do Moroccans celebrate the birth of a new baby traditionally?,كيفاش كيحتافلو المغاربة بالولادة ديال الدراري الصغار بطريقة تقليدية؟,gemma,"**Moroccan traditional celebrations for a new baby:**

**1. Aouda Ceremony:**

* Held on the eighth day after birth.
* Includes the circumcision of male infants (Sunnah tradition).
* Gifts of money and clothes are exchanged.


**2. Al-Ghadir Festival:**

* Held on the twelfth day after birth.
* Commemorates the weaning of Prophet Muhammad's son, Hasan.
* Features traditional Moroccan dishes, music, and dancing.


**3. Snifat (Baby Shower):**

* Hosted by the expectant mother or family.
* Includes games, food, and gifts for the unborn child.


**4. Gifts and Decorations:**

* Traditional Moroccan gifts for newborns include:
    * Silver spoons and bowls
    * Embroidered clothes
    * Aromatic oils
* Homes are decorated with colorful decorations and scented candles.


**5. Family Gatherings:**

* Extended family members gather to celebrate the new arrival.
* Traditional Moroccan dishes are often served.


**6. Prayers and Invokes:**

* Moroccans often pray to Allah for blessings on the new baby and their family.


**7. Henna Ceremony:**

* For the mother-to-be, usually held a few days before birth.
* Includes the application of henna paste on her hands and feet.","**طرق تقليدية لحفظ المغاربة بالولادة ديال الدراري الصغار:**

**1. حماية وتطريب:**
* تحضير وتطريب Kindergarden (الحول 2-3) بمواد نباتية مثل القطن أو الشجر.
* ضعي Kindergarden في موقف عالٍ من الأرض لتقليل مخاطر التشنج.

**2. الحرية الحركة:**
* ضعي Kindergarden في منطقة واسعة ومنبعة بالمساحة ليحرك بحرية.
* أعد موائم متعددة للأطفال لتصنع حواجز بينهم.

**3. برمجة الأنشطة:**
* برمجة الأنشطة التي تتناسب Developmentalة للأطفال.
* ضعي فترات راحة قصيرة بين الأنشطة المختلفة.

**4. برمجة الرضوض:**
* إذا كانت Kindergarden في برمجة رضوض، ضعي الأطفال على سرير مريح ووضعي ح Memphis على الأرض.

**5. الاتصال بالوالد:**
* ضعي Kindergarden في ممارسة الاتصال المستمر بالوالد.
* اطلب من والدي نقل الأطفال إلى Kindergarden وحملهم عندما يكون ضروري.

**6. حماية الأطفال من الحواجز:**
* افعل ما في وسعك لتقليل الحواجز في Kindergarden.
* ضعي Kindergarden في منطقة خالية من الأشياء الحادة.

**7. مراقبة الأطفال:**
* كن على صFlask برمجة Kindergarden وحركتها.
* اطلب من المعلمين أو البنات مراقبة الأطفال."
5,culture,What are the most important festivals and celebrations in Morocco throughout the year?,شنو هي أهم المهرجانات والاحتفالات في المغرب على طول السنة؟,gemma,"## Important Festivals and Celebrations in Morocco Throughout the Year:

**Spring:**

* **Marrakech Biennale (April):** Contemporary art exhibition showcasing international and Moroccan artists.
* **Imlil International Music Festival (May):** Traditional and contemporary music festival in the picturesque village of Imlil.
* **Assouma Festival (May/June):** Annual Berber festival celebrating ancestral heritage with music, dance, and traditional costumes.

**Summer:**

* **Gnaoua Festival (June/July):** One of the largest music festivals in Morocco, featuring traditional gnaoua music and dance.
* **Al-Hoceima International Festival of Cultures (August):** Cultural festival showcasing music, dance, and traditional attire from various regions of Morocco.
* **Taroudannt Orange Blossom Festival (September):** Celebration of the blossoming orange trees in the Souss region.

**Autumn:**

* **Chefchaouen Festival of Culture and Heritage (October):** Cultural event highlighting the rich heritage of Chefchaouen.
* **Marrakech Biennale Post Modern (October/November):** Contemporary art exhibition focusing on post-modern themes.

**Winter:**

* **Chaouen Christmas Festival (December):** Christmas market and festivities in the blue-washed town of Chefchaouen.
* **New Year's Eve Celebrations:** Traditional gatherings and celebrations across Morocco, with music, dancing, and local food.


**Other Notable Festivals:**

* **The Feast of Sacrifice (Adha):** Islamic festival commemorating the sacrifice of Abraham, celebrated with the sacrifice of an animal and communal feasts.
* **The Festival of Moulay Ismail:** Religious festival in the city of Meknes, featuring massive crowds, traditional attire, and spiritual rituals.
* **The Sidi Farss Festival:** Festival celebrating the Sufi saint Sidi Farss, featuring mystical rituals, music, and traditional dances.


**Additional Tips:**

* Many festivals require advance planning and bookings.
* Consider your interests and travel itinerary when planning your visit.
* Research local customs and traditions before attending any festival.
* Be respectful of local customs and traditions during celebrations.","البيان غير دقيق. شنو هي مهرجان صيفي شهير في المغرب، ولكنها ليست أهم المهرجانات والاحتفالات في المغرب على طول السنة."
6,culture,What is the significance of the djellaba in Moroccan clothing culture?,شنو هي الأهمية ديال الجلابة في ثقافة اللباس المغربي؟,gemma,"**The djellaba holds immense significance in Moroccan clothing culture:**

**1. Cultural Identity:**

* The djellaba is an iconic garment associated with Moroccan culture and identity.
* Its distinctive style and vibrant colors symbolize the rich heritage and diverse traditions of Morocco.


**2. Religious Significance:**

* Worn by Muslim men as part of their religious attire, the djellaba represents Islamic values and beliefs.
* The fabric and embellishments often feature intricate Islamic geometric patterns and calligraphy.


**3. Symbol of Authority and Status:**

* Traditionally worn by religious leaders and scholars, the djellaba signifies authority and wisdom.
* Its elaborate designs and fine craftsmanship denote a sense of prestige and social status.


**4. Cultural Expression:**

* The djellaba is a canvas for artistic expression, showcasing traditional Moroccan motifs and patterns.
* The colorful fabrics and intricate embroidery reflect the vibrant and diverse culture of Morocco.


**5. Cultural Protocol:**

* In formal settings or religious ceremonies, the djellaba is often required attire for men.
* Its presence ensures adherence to cultural norms and traditions.


**6. Tourism and Cultural Exchange:**

* The djellaba has become a popular souvenir and symbol of Morocco among tourists.
* Its significance represents the richness of Moroccan culture and traditions.","**نعم، سيإنها الأهمية ديال الجلابة في ثقافة اللباس المغربي.**

**جلب الجلابة:**

* هو جزء أساسي من KleidungTraditional المغربية.
* يشير إلى مجموعة متنوعة من الزيور التي يتم ترتيبها فوق بعضها البعض لتكوين شغل ملء للأماكن.

**الIMPORTANCE:**

* **الجمال:** الجلابة يمنح Kleidung مزجًا وحلوًا وحرفيًا.
* **الفن:** صناعة الجلابة في المغرب هي فن فني معقدة تتطلب مهارات متطورًا.
* **الثقافة:** الجلابة من العوامل التي تشكل الهوية الثقافية للمغاربة.
* **الاستخدام:** يمكن استخدام الجلابة في العديد من المناسب، بما في ذلك المناسب الرسمية والتق烈的.

**في الثقافة اللباس المغربي، يتم استخدام الجلابة بشكل كبير في:**

* Kleidung اليومية
* Kleidung التقليدية
* الاحتفالات
* ceremonies

وهناك أنواع عديدة من الجلابة المصنعة في المغرب، اعتمادًا على المنطقة والتقنيات المحلية."
7,culture,How does music play a role in Moroccan cultural celebrations?,كيفاش كتلعب الموسيقى دور في الاحتفالات الثقافية المغربية؟,gemma,"**Music plays a pivotal role in Moroccan cultural celebrations, enriching the atmosphere and expressing various emotions and traditions:**

**1. Traditional Festivals:**

* **Gnaoua Festival (Essaouira):** Mystical gnaoua music fills the air during this spiritual festival.
* **Marrakech International Music Festival:** Diverse genres of traditional and contemporary music from Morocco and beyond.
* **Imilchil Festival:** Berber music and dance celebrate the millet harvest.


**2. Cultural Events:**

* **Wedding celebrations:** Traditional Moroccan music and drums accompany the joyous festivities.
* **Birthdays and circumcisions:** Music is used to celebrate new life and mark significant milestones.
* **Ramadan festivities:** Traditional Moroccan melodies and poems enhance the spiritual ambiance during the holy month.


**3. Rituals and Beliefs:**

* **Maâroub music:** Mystical chanting and drumming are believed to drive away evil spirits.
* **Gnaoua music:** Associated with spiritual healing and transformation.
* **Folkloric songs:** Express traditional values, customs, and historical narratives.


**4. Entertainment and Social Gathering:**

* **Musician gatherings:** Traditional instruments like the kanun, qraban, and darbuka are played for leisure and cultural exchange.
* **Popular music genres:** Chaabi, Rai, and Nass are widely enjoyed at celebrations and on the radio.


**5. Preservation and Transmission:**

* Music plays a role in preserving and transmitting Moroccan cultural heritage to younger generations.
* Traditional instruments and songs are taught in schools and cultural centers.


**6. Cultural Identity:**

* Music is integral to Moroccan identity and sense of belonging.
* Different regions of Morocco have their own unique musical styles, reflecting their cultural diversity.","**تُلعب الموسيقى دورًا مهمًا في الاحتفالات الثقافية المغربية indemّلت:**

**1. تعزيز الهوية الثقافية:**

* تُستخدم الموسيقى التق통ية في الاحتفالات لتؤكد الهوية الثقافية المغربية.
* تشمل الموسيقى مثل المزمار والبنقرة وغيرها من 악 المؤلف التق통ية المحلية.

**2. تعزيز الشعور بالإنجاز:**

* تُستخدم الموسيقى الفestive لزيادة الاحلام الناس والإبراز الفخر.
* تُقدم الموسيقى سريعةة واثرة لتناسب الاحتفال.

**3. تنظيم الاحتفالات:**

* تُستخدم الموسيقى لتنظيم الاحتفالات وتنظيمها.
* تُستخدم للتقليل من الفوضى وتنظيم الحركة.

**4. تعزيز الشعور بالgemeinschaft:**

* تُستخدم الموسيقى التشاركية لزيادة الشعور بالgemeinschaft.
* يشترك الموسيقى جميع الناس في الاحتفال وحصول على روح عامة.

**5. تعزيز الشعور بالفرح:**

* تُستخدم الموسيقى السريعةة والمتعة لزيادة الشعور بالفرح.
* تُقدم الموسيقى طبية لتناسب الاحتفال.

**6. نقل الثقافة المغربية:**

* تُستخدم الموسيقى المغربية كأداة لنقل الثقافة المغربية إلى الآخرين.
* تُستخدم الموسيقى المغربية في الاحتفالات الدولية لتكون علامة تجارية للمغربية."
8,culture,What are the traditional crafts and artisanal practices in Morocco?,شنو هي الحرف والصناعة التقليدية في المغرب؟,gemma,"## Traditional Crafts and Artisanal Practices in Morocco:

**Textiles:**

* **Hand-woven carpets:** Renowned for their intricate designs and geometric patterns.
* **Textile embroidery:** Traditional motifs like the ""Bis"" and ""Chaabi"" are used on clothing, blankets, and decorative items.
* **Kilim rugs:** Made from natural fibers like wool and goat hair, featuring geometric shapes and vibrant colors.
* **Indigo dyeing:** A centuries-old technique used to create rich blues on textiles and leather.


**Metalwork:**

* **Damascus steel swords:** Known for their intricate patterns and exceptional sharpness.
* **Copperware:** Traditional cooking utensils, decorative items, and water fonts adorned with intricate patterns.
* **Silver jewelry:** Exquisite craftsmanship featuring traditional Moroccan designs and gemstones.


**Leatherwork:**

* **Moroccan leather shoes:** Distinctive style with intricate stitching and embellishments.
* **Leather bags and pouches:** Made from high-quality leather with traditional geometric patterns.
* **Travel bags and saddles:** Skilled craftsmanship using traditional tanning and dyeing techniques.


**Woodworking:**

* **Carved furniture:** Exquisitely crafted from cedar and other indigenous woods.
* **Ornate boxes and chests:** Featuring intricate geometric patterns and traditional motifs.
* **Musical instruments:** Traditional drums and flutes crafted from various woods.


**Ceramics:**

* **Blue and white ceramics:** Characteristic of the Fez region, known for their delicate patterns and vibrant colors.
* **Earthenware:** Traditional cooking pots and water storage vessels, often featuring geometric patterns.
* **Mosaic tiles:** Exquisitely crafted from hand-cut tiles with intricate patterns and vibrant colors.


**Other Notable Crafts:**

* **Calligraphy:** Exquisitely written Arabic script on various materials like leather and parchment.
* **Metal engraving:** Traditional patterns and motifs are engraved onto metal objects.
* **Palm leaf weaving:** Traditional mats and baskets made from woven palm leaves.


**Regional Specialties:**

* **Tafraout carpets:** Known for their vibrant colors and intricate geometric designs.
* **Azrou cedar wood:** Renowned for its exceptional quality and intricate carvings.
* **Kenitra ceramics:** Distinctive for their intricate patterns and diverse colors.","**نعم، السنو هي الحرف والصناعة التقليدية في المغرب.** 

السنو هو نوع من الحرف المصنوعة من الفSkinة المصنعة من قبل Women المغربيات. يتم استخدامها لكتابة اللغة العربية واللغة المحلية."
9,politics,What is the role of the king in Morocco's political system?,شنو هو الدور ديال الملك في النظام السياسي المغربي؟,gemma,"**The King of Morocco plays a crucial role in the country's political system, though his power is limited by the constitution and other legal frameworks.**

**1. Symbol of Authority:**

* The King serves as the formal head of state and represents Morocco in international relations.
* His image and authority are used to promote national unity and stability.


**2. Legislative Authority:**

* The King nominates the Prime Minister and other members of the government.
* He can dissolve the parliament and call for elections.

**3. Judicial Authority:**

* The King appoints the Supreme Court judges.

**4. Executive Authority:**

* The King has the power to issue royal decrees and ordinances that carry the force of law.
* He can also pardon criminals and commute sentences.

**5. Security and Defense:**

* The King commands the Moroccan Armed Forces and is the supreme commander of the armed forces.
* He has the power to authorize military operations.

**6. Consultation and Consensus:**

* The King consults with various political actors, including the Prime Minister, parliamentarians, and religious leaders before making major decisions.
* His decisions are often subject to political consensus.

**7. Limited by the Constitution and Legal Framework:**

* The King's powers are limited by the Moroccan constitution and other legal frameworks.
* The constitution safeguards certain democratic principles, such as freedom of expression and assembly.","**لا، هذا غير صحيح.** في المغرب، يكون الملك دورًا متميزًا، اما ليس دورًا سياسيًا."
10,politics,How does the parliamentary system work in Morocco?,كيفاش كيخدم النظام البرلماني في المغرب؟,gemma,"**Parliamentary System in Morocco:**

**1. Electoral System:**

* Mixed system of proportional representation and majoritarian constituencies.
* 395 seats in the House of Representatives.
* 52 seats are allocated through closed lists in open constituencies.
* 343 seats are allocated using the proportional representation system.


**2. Legislative Process:**

* The House of Representatives initiates and votes on legislation.
* Bills must pass through three readings in the House.
* The King has the power to veto legislation.
* The Constitutional Court reviews the constitutionality of legislation.


**3. Executive Power:**

* The King is the head of state and holds executive power.
* The Government is formed by the party or coalition that wins the majority of seats in the House of Representatives.
* The Prime Minister is the head of the Government and is responsible for leading the Cabinet.


**4. Relationship Between the Parliament and the Government:**

* The Parliament has the power to impeach the Prime Minister.
* The Government is accountable to the Parliament.
* The Parliament can pass laws that affect the Government's policies.


**5. Role of Political Parties:**

* Political parties play a significant role in the parliamentary system.
* Major parties often form coalitions to form a government.
* Smaller parties can influence legislation through their voting power.


**6. Key Features:**

* **Separation of powers:** The legislative, executive, and judicial branches are independent.
* **Multi-party system:** Various political parties compete in elections.
* **Periodic elections:** Elections for the House of Representatives are held every five years.
* **Gender quotas:** At least 30% of candidates on party lists must be women.


**7. Challenges:**

* **Limited public participation:** Low voter turnout and limited political awareness.
* **Influence of traditional power structures:** Traditional elites and political parties often control access to power.
* **Corruption:** Corruption is a significant problem in Moroccan politics.","**نظام البرلماني في المغرب يُنفّذ من قبل برلمان منتخب من قبل المواطنين لعمل كمجلس تشريعي ومؤدي للسياسة.**

**وظائف برلمان المغرب:**

* **مشرّع:** يصنع القرارات بشأن القوانين والنظام.
* **مراقب:** يشرف على عمل حكومة الإدارة وتتبع الأحداث العامة.
* **مجلس مشور:** يقدم المشورة لحكومة بشأن القوانين والنظام.

**إدارة البرلمان:**

* رئيس برلمان: يؤدي côtés اليومي للبرلمان.
* نواب برلمان: يُمثلون المقاطع الانتخابية المختلفة.
* اللجان: تُقسم برلمان إلى اللجان التي تركز على مجالات محددة من الشأن.

**عمل البرلمان:**

*sitting البرلمان: تُجرى دوريًا لتحديد القوانين والنظام.
* المقترحات القوانين: يمكن لل نابذة تقديم اقتراحات القوانين.
* التصويت: تُجرى تصويتات على القوانين والنظام التي تُقدم.

**مجريات البرلمان:**

* اختيار برلمان: يُجرى الانتخابات كل خمس سنوات.
* الانتخابات المحلية: تُجرى الانتخابات المحلية لتحديد نواب برلمان من كل مقاطعة.
* التصويت: يُ حقق المواطنون فوق سن 18 عامًا التصويت.

**التركيز:**

* حماية FREEDOM الأفكار والجمال.
* تحسين حالة الإنسان.
* تحسين الاقتصاد.
* الحفاظ على سلامة وتأمين الأمة."
